"name","alt.name","venue"
"4-H Real Madrid B00","4-H 00B Real Madrid","Win OYS B00 Division 1 White"
"AC Brea B00","AC BREA B00 (CAS)","Surf Cup Super Black U17"
"AC Brea B00","AC BREA B00 (CAS)","NV Players Showcase Mirage U17"
"AC Brea Red B00","AC BREA B00 Red","FWRL CAS B00"
"Academia de Futebol ADF B00","ACADEMIA DE FUTEBOLTRAINING ADF 00 (OR)","Nike Crossfire Challenge Super Group U17"
"Academia de Futebol ADF B00","ADF 00B FWRL","FWRL B00"
"Academia de Futebol ADF B00","ADF 00B FWRL","Win OYS B00 Premier"
"Academia de Futebol ADF B00","ADF 00B FWRL","OYS State Cup B00"
"Academia Leon B00","Academia Leon FC 00B","Win OYS B00 Division 1 Green"
"Ajax East Bay B00","AJAX EAST BAY AEB 00B","FWRL CAN CRL U17"
"Albion SC Academy B00","ALBION SC 2000 ACADEMY (CAS)","Surf Cup Super White U17"
"Albion SC Academy B00","ALBION SC 2000 ACADEMY (CAS)","Surf College Showcase Super Black U17"
"Albion SC Academy B00","Albion SC B00 Academy - Brown","FWRL CAS B00"
"Albion SC Academy B00","ALBION SC 2000 ACADEMY (CAS)","NV Players Showcase Mirage U17"
"Albion SC Academy B00","ALBION SC ACADEMY B00 (CAS)","Albion Cup 2000 Showcase U17"
"Albion SC Academy I B00","Albion SC 2000 Academy I(CAS)","Americas Cup BU17"
"Albion SC Academy I B00","ALBION SC 2000 ACADEMY 1 (CAS)","NV Players Showcase Mirage U17"
"Albion SC Academy I B00","ALBION SC 2000 ACADEMY I (CAS)","Surf Cup Black U17"
"Albion SC Academy I B00","ALBION SC 2000 ACADEMY I (CAS)","Surf College Showcase Super Black U17"
"Albion SC Academy I B00","ALBION SC ACADEMY I B00 (CAS)","Albion Cup 2000 Showcase U17"
"Albion SC OC Academy B00","ALBION SC - OC ALBION SC- OC ACADEMY B00 (CAS)","Albion Cup 2000 Showcase U17"
"Albion SC OC B00","ALBION OC B00 (CAS)","NV Players Showcase MGM U17"
"Albion SC OC Premier B00","ALBION SC - OC PREMIER B00 (CAS)","Albion Cup 2000 Showcase U17"
"Albion SC Premier B00","ALBION SC PREMIER B00 (CAS)","Albion Cup 2000 Cup U17"
"Albion SC Premier II B00","ALBION PREMIER - GONZALEZ (CAS)","Albion Cup 2000 Cup U17"
"Alianza YSF FC B00","ALIANZA/YSF FC (CAN)","Surf College Showcase Black U17"
"Alum Rock PAC Arsenal B00","ALUM ROCK YSL AR ARSENAL","FWRL CAN CRL U17"
"Anaheim FC PDA B00","ANAHEIM FC PDA B2000","NHB Cup Flight 1"
"Anaheim FC PDA B00","ANAHEIM FC PDA 2000 (CAS)","NV Players Showcase Mirage U17"
"Anaheim FC PDA B00","ANAHEIM FC PDA 2000 (CAS)","Manchester City Cup Gold U17"
"ANSFE South Florida Elite Red B00","ANSFE SOUTH FLORIDA ELITE FC 2000 RED (FL)","NV Players Showcase Mirage U17"
"Arizona Arsenal Premier Teal B00","Arizona Arsenal 00 Premier Teal Boys","Nomads Thanksgiving 1st Division U17"
"Arizona Arsenal Premier Teal B00","AZ ARSENAL 00 PREMIER TEAL (AZ)","NV Players Showcase Mirage U17"
"Arsenal FC Academy USSDA B00","ARSENAL FC USSDA 2000 ACADEMY (CAS)","Surf Cup Super Black U17"
"Arsenal FC B00","Arsenal FC B00 FC - Ushurhe","SCDL Fl1 U17"
"Arsenal FC Pre-Academy B00","ARSENAL B00 ARSENAL PRE ACADEMY (CAS)","NV Players Showcase MGM U17"
"Arsenal FC West B00","Arsenal FC B00 FC West","SCDL Fl1 U17"
"ASE Emerald B00","ASE B00 EMERALD - STOUT","Central WA Super Cup Boys U17 Gold"
"ASE Emerald B00","ASE B00 Emerald Stout","PSPL WSPL 1 U17"
"ASE Emerald B00","ASE B00 EMERALD (WA)","WA Cup HS Gold U17"
"Atlante San Diego FC Academy B00","Atlante San Diego FC Academy","Nomads Thanksgiving 1st Division U17"
"Atletico Santa Rosa Barcelona B00","ATLETICO SANTA ROSA BARCELONA (CAN)","Surf Cup Super Black U17"
"Atletico Santa Rosa Barcelona B00","ATLETICO SANTA ROSA 2000 A (CAN)","Surf College Showcase Super White U17"
"Atletico Santa Rosa Cosmos B00","ATLETICO SANTA ROSA COSMOS (CAN)","Timbers Winter Showcase 2000 Showcase U17"
"Avalanche FC Apex College Prep B00","AFC APEX College Prep 00","Nomads Thanksgiving 1st Division U17"
"Avanti United B00","Avanti United B00","Xtreme Cup BU17"
"AVFC Predators B00","AVFC Predators","Nomads Thanksgiving 1st Division U17"
"Aztecs FC Elite Academy B00","Aztecs Elite Academy","Nomads Thanksgiving 1st Division U17"
"Aztecs FC Texas B00","AZTECS FC AZTECS 01B (TXN)","Surf Cup White U17"
