"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Crossfire Premier A B02",1800,29.26,35.09,40,"WA","Redmond","RCL B02 Div 1","","NWCL 02, WYS Championship B02"
"Seattle Sounders B02",1778,53.57,16.36,16,"WA","Tukwila","","","FWRL01"
"PacNW Maroon B02",1768,38.49,21.27,46,"WA","Tukwila","RCL B02 Div 1","","FWRL02, WYS Championship B02"
"Seattle United Copa B02",1768,26.18,31.23,38,"WA","Seattle","RCL B02 Div 1","","FWRL02, WYS Championship B02"
"GS Surf A B02",1748,24.32,29.28,32,"WA","Bothel","RCL B02 Div 1","","FWRL02, WYS Championship B02"
"WPFC Black B02",1739,38.74,17.35,46,"WA","Tacoma","RCL B02 Div 1","","FWRL02, NWCL 02, WYS Championship B02"
"Central WA SA Navy B02",1732,24.83,25.77,29,"WA","Yakima","PSPL WSPL 1 U15","","NWCL 02, WA Cup HS Gold U15"
"Westside Timbers Copa Red B02",1665,25.19,15.97,48,"OR","Beaverton","PTT B02 Premier","Win OYS B02 Premier Green","FWRL02, OYS State Cup B02"
"Portland Timbers Academy B02",1641,18.85,18.09,16,"OR","","","Win OYS B02 Premier Green","FWRL02"
"Snohomish United Black B02",1613,18.94,14.82,30,"WA","Snohomish","RCL B02 Div 3","","WYS Championship B02"
"Eastside Timbers Red B02",1613,20.05,14,39,"OR","Gresham","PTT B02 Premier","Win OYS B02 Premier Green","FWRL02, OYS State Cup B02"
"STU Chelsea Academy B02",1613,19.5,14.35,19,"WA","Tacoma","RCL B02 Div 4","","WYS Presidents Cup B02 Div 1"
"Spokane Sounders A B02",1591,17,14.14,34,"WA","Spokane","RCL B02 Div 1","","NWCL 02, WYS Championship B02"
"GS Surf B B02",1591,19.51,12.3,30,"WA","Bothel","RCL B02 Div 2","","WYS Championship B02"
"Seattle United Tango B02",1584,15.38,14.87,36,"WA","Seattle","RCL B02 Div 1, RCL B02 7V2","","NWCL 02, WYS Championship B02"
"Eastside FC Red B02",1571,20.73,10.12,35,"WA","Preston","RCL B02 Div 1","","FWRL02, WYS Championship B02"
"PacNW Blue B02",1568,18.05,11.39,34,"WA","Tukwila","RCL B02 Div 2","","WYS Presidents Cup B02 Div 1"
"Boise Nationals Timbers Blue B02",1554,14.27,13.01,28,"ID","Boise","Idaho D3 U14/U15 Div 1 U15","Spr Idaho D3 U15/16 Div 1","FWRL02, ID State Cup U15"
"Capital FC Timbers Red B02",1545,21.6,8.11,39,"OR","Salem","PTT B02 Premier","Win OYS B02 Premier Green","OYS State Cup B02"
"Eclipse FC B02",1540,14.45,11.73,41,"WA","","PSPL WSPL 2 U15","Spr PSPL SuperLeague U15","WA Cup HS Gold U15"
"NSC Vortex Green B02",1526,15.38,9.99,32,"WA","Woodinvile","NPSL Div 1 (02) U15","","Founders Cup B02 Div A"
"Westside Timbers Copa White B02",1523,14.82,10.12,44,"OR","Beaverton","PTT B02 Premier","Win OYS B02 Premier Green","FWRL02, OYS State Cup B02"
"Spokane Sounders B B02",1517,11.45,12.54,36,"WA","Spokane","RCL B02 Div 4","","WYS Presidents Cup B02 Div 1"
"Crossfire Premier B B02",1515,10.49,13.52,34,"WA","Redmond","RCL B02 Div 2, RCL B02 7V2","","WYS Championship B02"
"Southside SC Azul B02",1506,15.14,8.8,39,"OR","Tigard","PTT B02 Div 1 Green","Win OYS B02 Premier Green","OYS State Cup B02"
"Eastside FC White B02",1506,14.06,9.46,30,"WA","Preston","RCL B02 Div 2","","WYS Presidents Cup B02 Div 1"
"Washington Timbers Red 1 B02",1503,15.23,8.56,36,"WA","Vancouver","RCL B02 Div 3","Win OYS B02 Premier White","WYS Presidents Cup B02 Div 1"
"3 Rivers Black B02",1502,13.27,9.81,25,"WA","Pasco","RCL B02 Div 2","","WYS Presidents Cup B02 Div 1"
"Crossfire Oregon Green I B02",1500,12.41,10.3,26,"OR","Lake Oswego","","Win OYS B02 Premier White","OYS State Cup B02"
"Whatcom Rangers Gold B02",1487,16.2,7.22,33,"WA","Bellingham","RCL B02 Div 2","","WYS Presidents Cup B02 Div 1"
"RSA Elite A B02",1485,17.25,6.69,22,"WA","Puyallup","PSPL WSPL 1 U15","","WA Cup HS Gold U15"
"Crossfire Yakima B B02",1485,14.91,7.72,29,"WA","Yakima","RCL B02 Div 2","","WYS Presidents Cup B02 Div 1"
"Seattle Celtic Green B02",1482,16.4,6.9,30,"WA","Seattle","PSPL WSPL 2 U15","Spr PSPL SuperLeague U15","WA Cup HS Gold U15"
"Crossfire Select OMelia B02",1476,13.34,8.11,31,"WA","Redmond","RCL B02 Div 4","","WYS Presidents Cup B02 Div 2"
"LASC Cuervos B02",1474,10.13,10.57,35,"OR","NE Portland","PTT B02 Premier","Win OYS B02 Premier Green","OYS State Cup B02"
"Seattle United Shoreline Blue B02",1465,7.11,14.09,26,"WA","Shoreline","NPSL Div 1 (02) U15","","Founders Cup B02 Div A"
"Washington East SC A B02",1465,11.6,8.63,24,"WA","Spokane","PSPL WSPL 1 U15","",""
"NPSA Titans Navy B02",1456,13.38,7.06,31,"WA","Bellevue","PSPL WSPL 1 U15","Spr PSPL Classic U15",""
"Southlake Select TUSK United B02",1444,10.52,8.26,31,"WA","Newcastle","NPSL Div 1 (02) U15","","Founders Cup B02 Div A"
