name,alt.name,venue
3 Rivers Black B03,3RSC B03 Black,Beaverton Cup BU14 Silver
3 Rivers Black B03,3RSC Black B03,Mt Hood Challenge U14 Silver
3 Rivers Black B03,3RSC B2003 BLACK,RCL B03 Div 2
3 Rivers Black B03,3RSC B2003 BLACK,Win RCL B03 Div 3
3 Rivers Black B03,3RSC B2003 BLACK,WYS Presidents Cup B03 Division 1
3 Rivers Green B03,THREE RIVERS B2003 RCL GREEN (WA),Les Schwab NW Cup U14 Boys U14
3 Rivers Green B03,3RSC B2003 RCL GREEN,RCL B03 Div 4
3 Rivers Green B03,3RSC B2003 RCL GREEN,Win RCL B03 Div 5
3 Rivers White B03,3 RIVERS SOCCER 3RSC 03 DISTRICT WHITE (WA),Les Schwab NW Cup U14 Boys U14
3 Rivers White B03,Three Rivers Soccer Club 3rsc B03 pspl white,PSPL-Inland Copa 1 U14
3 Rivers White B03,Three Rivers Soccer Club 3rsc B03 pspl white,Spr PSPL-Inland Copa Classic U14
4-H Atletico B03,4-H Atletico,Mt Hood Challenge U14 Silver
4-H Atletico B03,4-H 03B Atletico Ever,PTT B03 Division 1 Green
4-H Atletico B03,4-H 03B Atletico Ever,Spr OYS B03 Division 1 Green
4-H FC Joga B03,4-H FC Joga,Capital Cup BU14 Gold
4-H FC Joga B03,4-H FC Joga,Mt Hood Challenge U14 Gold
4-H FC Joga B03,4-H 03B FC Joga,PTT B03 Premier White
4-H FC Joga B03,4-H 03B FC Joga,Spr OYS B03 Premier Green
4-H FC Joga B03,4-H 03B FC Joga,OYS State Cup B03
4-H Penarol B03,4-H Penarol 2003,Mt Hood Challenge U14 Premier
4-H Penarol B03,4-H 03B Penarol,PTT B03 Premier Green
4-H Penarol B03,4-H 03B Penarol,Spr OYS B03 Premier Green
4-H Penarol B03,4-H 03B Penarol,OYS State Cup B03
4-H PSG B03,4-H 03B PSG Patrick,PTT B03 Division 1 White
Academia de Futebol ADF B03,ADF B03,Mt Hood Challenge U14 Silver
Academia de Futebol ADF B03,ACADEMIA DE FUTEBOLTRAINING ADF 03 (OR),Nike Crossfire Challenge Super Group U14
Academia de Futebol ADF B03,ADF 03B,PTT B03 Premier White
Academia de Futebol ADF B03,ADF 03B,Spr OYS B03 Premier White
Academia de Futebol ADF B03,ADF 03B,OYS State Cup B03
Academia Leon B03,Academia Leon B2003,Capital Cup BU14 Silver
Academia Leon B03,Academia Leon B2003,Mt Hood Challenge U14 Bronze
Academia Leon B03,Academia Leon FC 03B,PTT B03 Division 1 White
Alaska ODP B03,Alaska ODP 03B,FWRL B03
Albion SC Academy B03,ALBION SC ALBION ACADEMY B03 GARTON (CAS),Surf Cup Super Black U14
Albion SC USSDA B02,ALBION SC B02 USSDA (CAS),Surf Cup USSDA Black U14
Aloha United Atletico Black B03,AUCSC 03B Atletico Black,OYS Presidents Cup B03
Aloha United Atletico Black B03,ALOHA UNITEDATLETICO BLACK U14,PCU Summer Classic U14 Boys Bronze
Aloha United Atletico Black B03,AUCSC 03B Atletico Black,PTT B03 Division 1 Green
Aloha United Atletico Black B03,AUCSC 03B Atletico Black,Spr OYS B03 Division 1 White
Aloha United Atletico Black B04,Atletico Black (Vejo),Cowlitz Kickoff BU13-14
Alum Rock PAC Inter Milan B03,ALUM ROCK YSL AR INTER MILAN 03,FWRL CAN CRL U14
Arsenal FC Academy USSDA B02,ARSENAL FC USSDA 2002 (CAS),Surf Cup USSDA Black U14
Arsenal FC B03,ARSENAL FC ARSENAL B03 (CAS),Oswego Nike Cup Gold U14
Avalanche FC Apex White B03,AFC APEX 03 WHITE,Performance Cup U14 Boys Gold
AVFC Predator B03,AVFC Predator,Nomads Thanksgiving 1st Division U14
Aztecas -Unk B03,Aztecas,Clash At the Border Div 2 Gold/Silver/Bronze U14
Barcelona NV Academy B B03,BARCELONA NV USAACADEMY SRJ,LV Thanksgiving Classic LVTC U14 Boys Silver Elite
Barcelona NV Academy B B03,BARCELONA NV USA ACADEMY SRJ,FWRL Desert 2003 U14
Barcelona NV Academy B03,BARCELONA NV USAACADEMY '03 A,LV Thanksgiving Classic LVTC U14 Boys Gold
Bays United Team Fury B03,Bays United FC Team Fury,Starfire Spring Classic BU14
Beach FC B03,BEACH FC B03 REA,NHB Cup Flight 1
Bellevue United Select B03,Bellevue United Select B03,Blast Off B2003-04 B
Bellevue United Select B03,BUFC Select B03 VanGaver,NPSL Division 2 (03) U14
Bend FC Timbers Red B03,BFCT B03 Red,Beaverton Cup BU14 Gold
Bend FC Timbers Red B03,Bend FC Timbers 03B RED,FWRL B03
Bend FC Timbers Red B03,Bend FC Timbers 03B RED FWRL,FWRL B03
Bend FC Timbers Red B03,Bend FC Timbers 03B RED,PTT B03 Premier Green
Bend FC Timbers Red B03,Bend FC Timbers 03B RED FWRL,PTT B03 Premier Green
Bend FC Timbers Red B03,BFCT B03 Red,US Club Regionals 2003
Bend FC Timbers Red B03,Bend FC Timbers 03B RED FWRL,Spr OYS B03 Premier Green
Bend FC Timbers Red B03,Bend FC Timbers 03B RED FWRL,OYS State Cup B03
Bend FC Timbers White B03,BEND FC TIMBERS BFCT 03B WHITE (OR),Bend Premier Cup Lucas Melano (Silver) Division U14
Bend FC Timbers White B03,Bend FC Timbers B03 White,Mt Hood Challenge U14 Silver
Bend FC Timbers White B03,Bend FC Timbers 03B WHITE,PTT B03 Division 1 Green
Bend FC Timbers White B03,Bend FC Timbers 03B WHITE,OYS Founders Cup B03
Bend FC Timbers White B03,Bend FC Timbers 03B WHITE,Spr OYS B03 Division 1 White
BIFC Blue B03,Bainbridge Island FC Blue B03,Island Cup BU14 Gold
BIFC Blue B03,Bainbridge Island FC Blue B03,NPSL Division 2 (03) U14
BIFC Blue B03,Bainbridge Island FC B03 Blue,Seattle United Cup BU14 Gold
BIFC Blue B03,Bainbridge Island FC B03 Blue,Skagit Firecracker Gold U14
BIFC Blue B03,Bainbridge Island FC Blue B03,Founders Cup B03 Div A
BIFC Blue B03,Bainbridge Island FC Blue B03,WYS Presidents Cup B03 Division 2
BIFC White B03,Bainbridge Island FC White B03,Island Cup BU13-14 Silver
BIFC White B03,Bainbridge Island FC White B03,NPSL Division 3 (03) U14
BIFC White B03,BIFC B03 White,Seattle United Cup BU14 Silver
BIFC White B03,Bainbridge Island FC B03 White,Skagit Firecracker Silver U14
BIFC White B04,Bainbridge Island FC White B04,Island Cup BU13-14 Silver
Black Angels -Unk B03,Black Angels,Starfire Spring Classic BU14
Blackfoot Broncos FC B02,BLACKFOOT YSABRONCOS FC,Yellowstone Cup Boys U13/14
Blackhills FC Black B03,BLACKHILLS FC B03 BLACK (WA),Bigfoot Gold U14
Blackhills FC Black B03,Blackhills FC B03 Black,Capital Cup BU14 Silver
Blackhills FC Black B03,BLACKHILLS FC B 03 BLACK A (WA),Nike Crossfire Challenge Gold Group U14
Blackhills FC Black B03,Blackhills FC B03 Black A,RCL B03 Div 3
Blackhills FC Black B03,Blackhills FC B03 Black A,Win RCL B03 Div 3
Blackhills FC Black B03,Blackhills FC B03 Black A,WYS Presidents Cup B03 Division 2
Blackhills FC Red B03,Blackhills FC B03 Red,Capital Cup BU14 Silver
Blackhills FC Red B03,Blackhills FC B03 Red,NPSL Division 3 (03) U14
Blackhills FC Red B03,BLACKHILLS FC B 03 RED (WA),REDAPT Cup Silver U14
Blackhills FC Red B03,Blackhills FC B03 Red,Sounders FC Cup BU14 Bronze
Blackhills FC Red B03,Blackhills FC B03 Red B,Spr NPSL (03) Division 2 (South) U14
Blackhills FC Red B03,Blackhills FC B 03 Red B,WYS Presidents Cup B03 Division 2
Boise Nationals Timbers Blue B03,Boise Nationals Timbers,FWRL B03
Boise Nationals Timbers Blue B03,BOISE NATIONALS TIMBERS U14 2003 BLUE,Spr Idaho D3 U13/U14 Division 1
Boise Nationals Timbers Blue B03,BOISE NATIONALS TIMBERS U14 2003 RED (ID),Canyon Rim Classic U14 B U14
Boise Nationals Timbers Blue B03,BOISE NATIONALS TIMBERS U14 2003 BLUE (ID),ID State Cup Boys U14 U14
Boise Nationals Timbers Blue B04,BOISE NATIONALS TIMBERS U13 2004 BLUE (ID),GEM State Challenge U14 Boys U14
Boise Nationals Timbers Blue B04,BOISE NATIONALS TIMBERS U13 2004 BLUE,Spr Idaho D3 U13/U14 Division 1
Boise Nationals Timbers Red B03,BOISE NATIONALS TIMBERS U14 2003 RED (ID),GEM State Challenge U14 Boys U14
Boise Nationals Timbers Red B03,BOISE NATIONALS TIMBERS U14 2003 RED,Idaho D3 Division 2 East U14
Boise Nationals Timbers Red B03,BOISE NATIONALS TIMBERS U14 2003 RED,Spr Idaho D3 U14 Boys Division 2
Boise Nationals Timbers Red B03,BOISE NATIONALS TIMBERS 2003 RED (ID),ID Directors Cup U13/U14 Gold U14
Boise Nationals Timbers Red B04,BOISE NATIONALS TIMBERS U13 2004 RED,Idaho D3 Division 2 West U14
Boise Nationals Timbers Red B04,BOISE NATIONALS TIMBERS 2004 RED (ID),ID Directors Cup U13/U14 Gold U14
Bozeman Blitzz Blue B03,BLITZZ FC BLUE (MT),PVSC Spring Classic BU14 U14
Breakers Black B03,Breakers FC B03 Black,Mt Hood Challenge U14 Bronze
Breakers Black B03,"BREAKERS FCBLACK B03-04, CHESTER",Pend Orielle Cup U14/15 Silver
Breakers Black B03,IEYSA Breakers FC - Black B03-04 Chester,PSPL Classic 1 U14
Breakers Black B03,Breakers FC Black 03 - Chester,Seattle United Cup BU14 Silver
Breakers Black B03,IEYSA Breakers FC - Black B03-04 Chester,Spr PSPL SuperLeague 2 U14
Breakers Black B03,SPOKANE BREAKERS FC B03 (WA),WA Cup Boys U14 Silver U14
Breakers Red B03,BREAKERS FCRED B03 RADTKE,Pend Orielle Cup U14/15 Silver
Breakers Red B03,IEYSA Breakers FC - Red B03 Radtke,PSPL-Inland Copa 2 U14
Breakers Red B03,BREAKERS FC RED B03 RADTKE (WA),River City Challenge Boys U14 (2003) U14
