"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2016-06-09,"Teton FC B05",1,"PVSC United Fury B04",1,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"South Tacoma United Lopez B06",2,"Highline Premier Heat Blue B06",11,"Starfire Spring Classic BU11 Gold","neutral","neutral","Grass"
2016-06-10,"BIFC Blue B06",3,"STU Evolution Araujo B06",3,"Starfire Spring Classic BU11 Gold","neutral","neutral","Turf"
2016-06-10,"Dragons FC B06",2,"Eastside FC Grey B06",0,"Starfire Spring Classic BU11 Silver","neutral","neutral","Grass"
2016-06-10,"FPSC Fury Black B06",9,"Highline Premier Heat Red B06",1,"Starfire Spring Classic BU11 Silver","neutral","neutral","Turf"
2016-06-10,"Worldwide Futbal Academy B06",7,"FC Edmonds Surge B06",1,"Starfire Spring Classic BU11 Silver","neutral","neutral","Turf"
2016-06-10,"PVSC United Fury B04",2,"FC Idaho B05",3,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"FC Idaho B05",3,"Teton FC B05",3,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"PVSC United Fury B04",3,"Jefferson YSA B05",2,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"Teton FC B05",9,"Jefferson YSA B05",3,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"Highline Premier Heat Blue B06",6,"NK Fuerza B06",3,"Starfire Spring Classic BU11 Gold","neutral","neutral","Grass"
2016-06-11,"BIFC Blue B06",2,"Cascade FC Green B06",3,"Starfire Spring Classic BU11 Gold","neutral","neutral","Turf"
2016-06-11,"STU Evolution Araujo B06",0,"South Tacoma United Lopez B06",4,"Starfire Spring Classic BU11 Gold","neutral","neutral","Turf"
2016-06-11,"Cascade FC Green B06",5,"STU Evolution Araujo B06",4,"Starfire Spring Classic BU11 Gold","neutral","neutral","Turf"
2016-06-11,"NK Fuerza B06",1,"South Tacoma United Lopez B06",0,"Starfire Spring Classic BU11 Gold","neutral","neutral","Turf"
2016-06-11,"BIFC Blue B06",0,"Highline Premier Heat Blue B06",5,"Starfire Spring Classic BU11 Gold","neutral","neutral","Turf"
2016-06-11,"Emerald City FC Green B06",0,"Coastal FC White B06",7,"Starfire Spring Classic BU11 Silver","neutral","neutral","Turf"
2016-06-11,"FC Edmonds Surge B06",5,"Highline Premier Heat Red B06",0,"Starfire Spring Classic BU11 Silver","neutral","neutral","Grass"
2016-06-11,"FPSC Fury Black B06",3,"Worldwide Futbal Academy B06",8,"Starfire Spring Classic BU11 Silver","neutral","neutral","Grass"
2016-06-11,"Dragons FC B06",5,"Emerald City FC Green B06",0,"Starfire Spring Classic BU11 Silver","neutral","neutral","Grass"
2016-06-11,"Coastal FC White B06",8,"Eastside FC Grey B06",1,"Starfire Spring Classic BU11 Silver","neutral","neutral","Grass"
2016-06-11,"Jefferson YSA B05",1,"FC Idaho B05",1,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"FC Idaho B05",1,"Teton FC B05",2,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-12,"NK Fuerza B06",1,"Cascade FC Green B06",5,"Starfire Spring Classic BU11 Gold","neutral","neutral","Grass"
2016-06-12,"Highline Premier Heat Blue B06",5,"Cascade FC Green B06",1,"Starfire Spring Classic BU11 Gold","neutral","neutral","Turf"
2016-06-12,"FC Edmonds Surge B06",2,"FPSC Fury Black B06",8,"Starfire Spring Classic BU11 Silver","neutral","neutral","Grass"
2016-06-12,"Highline Premier Heat Red B06",0,"Worldwide Futbal Academy B06",8,"Starfire Spring Classic BU11 Silver","neutral","neutral","Turf"
2016-06-12,"Coastal FC White B06",5,"Dragons FC B06",4,"Starfire Spring Classic BU11 Silver","neutral","neutral","Turf"
2016-06-12,"Eastside FC Grey B06",0,"Emerald City FC Green B06",2,"Starfire Spring Classic BU11 Silver","neutral","neutral","Turf"
2016-06-12,"Coastal FC White B06",5,"Worldwide Futbal Academy B06",1,"Starfire Spring Classic BU11 Silver","neutral","neutral","Turf"
