"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","spr.league .colname","other .colname"
"WA Rush G00",2182,125.86,115.19,39,"WA","Everett","Win RCL G00 Div 1","FWRL00, National League U17, WYS Championship G00"
"PacNW Maroon G00",2138,183.01,58.37,31,"WA","Tukwila","Win RCL G00 Div 1","FWRL00, WYS Championship G00"
"GS Surf A G00",2120,175.28,53.57,30,"WA","Bothel","Win RCL G00 Div 1","FWRL00, National League U17, WYS Championship G00"
"FC Salmon Creek Nemesis Yellow G00",2041,79.11,68.97,17,"WA","Salmon Creek","","FWRL00, OYS State Cup G00, National League U17"
"Portland Thorns Academy G00",2038,69.62,76.52,8,"OR","","","FWRL00"
"Spokane Sounders A G00",1951,79.76,36.52,19,"WA","Spokane","Win RCL G00 Div 1","WYS Championship G00"
"Seattle United Copa G00",1930,55.03,45.96,26,"WA","Seattle","Win RCL G00 Div 1","FWRL00, WYS Championship G00"
"Eastside FC Red G00",1927,53.17,46.36,32,"WA","Preston","Win RCL G00 Div 1","FWRL00, WYS Championship G00"
"ISC Gunners A G00",1882,32.08,56.38,31,"WA","Issaquah","Win PSPL WSPL 1 (00) U17","WA Cup Gold Div"
"GS Surf B G00",1875,53.24,32.34,25,"WA","Bothel","Win RCL G00 Div 2","WYS Championship G00"
"Crossfire Premier A G00",1868,47.22,34.81,31,"WA","Redmond","Win RCL G00 Div 1","WYS Championship G00"
"Three Rivers SC Black G00",1863,47.53,33.37,23,"WA","Pasco","Win RCL G00 Div 1","WYS Championship G00"
"FC Portland Navy G00",1837,50.67,26.17,15,"OR","Portland","Win OYS G00 Premier","OYS State Cup G00"
"NEU White G00",1796,32.65,30.49,14,"OR","Portland","Win OYS G00 Premier","OYS State Cup G00"
"ASE Emerald G00",1794,48.45,20.34,15,"WA","Pasco","Win PSPL WSPL 1 (00) U17",""
"Whatcom FC Rangers Gold G00",1773,30.77,27.63,25,"WA","Bellingham","Win RCL G00 Div 2","WYS Championship G00"
"WPFC Black G00",1761,21.52,36.27,28,"WA","Tacoma","Win RCL G00 Div 2","WYS Presidents Cup G00"
"Westside Timbers Samba TS G00",1759,16.13,47.78,14,"OR","Beaverton","Win OYS G00 Div 1",""
"Westside Timbers Copa G00",1733,22.67,28.36,15,"OR","Beaverton","Win OYS G00 Premier","FWRL00, OYS State Cup G00"
"Spokane Sounders B G00",1722,33.67,17.68,26,"WA","Spokane","Win RCL G00 Div 3","WYS Presidents Cup G00"
"PacNW Blue G00",1720,23.18,25.33,27,"WA","Tukwila","Win RCL G00 Div 2","WYS Presidents Cup G00"
"FPSC Fury Black G00",1712,27.9,20,24,"WA","Tacoma","Win PSPL WSPL 1 (00) U17","WA Cup Gold Div"
"Harbor Premier Green G00",1704,33.88,15.57,33,"WA","Gig Harbor","Win RCL G00 Div 2","WYS Presidents Cup G00"
"Blackhills FC Black G00",1692,23.06,21.01,17,"WA","Olympia","Win RCL G00 Div 3","WYS Presidents Cup G00"
"Kitsap Alliance Red G00",1685,22.34,20.63,21,"WA","Silverdale","Win RCL G00 Div 2","WYS Presidents Cup G00"
"ETFC Sol Black G00",1682,35.09,12.9,11,"OR","Eugene","Win OYS G00 Premier","OYS State Cup G00"
"Cheney Storm FC G00",1670,16.69,24.96,23,"WA","Cheney","Win PSPL WSPL 2 (00) U17",""
"4H Bayern Munich G00",1662,37.57,10.45,11,"OR","","Win OYS G00 Premier","OYS State Cup G00"
"Eastside FC White G00",1644,22.48,15.46,25,"WA","Preston","Win RCL G00 Div 2","WYS Presidents Cup G00"
"Capital FC Timbers Red G00",1641,23.54,14.47,12,"OR","Salem","Win OYS G00 Premier","OYS State Cup G00"
"PCU Red G00",1638,19.87,16.73,29,"OR","Portland","Win OYS G00 Premier","OYS State Cup G00"
"Crossfire Select Habash G00",1631,24.54,12.93,26,"WA","Redmond","Win NPSL Div 1 (00) U17","WYS Presidents Cup G00"
"Crossfire OR Blue I G00",1627,17.44,17.76,18,"OR","Tigard","Win OYS G00 Premier","OYS State Cup G00"
"WA Rush Nero G00",1615,16.01,17.7,27,"WA","Everett","Win RCL G00 Div 3","WYS Presidents Cup G00"
"Sting SC Timbers G00",1615,21.78,13,15,"ID","","Win PSPL WSPL 2 (00) U17","WA Cup Gold Div"
"FC Salmon Creek Nemesis Blue G00",1606,16.83,15.88,13,"WA","Salmon Creek","Win OYS G00 Div 1",""
"CWSA Navy G00",1603,19.63,13.32,21,"WA","Yakima","Win PSPL WSPL 1 (00) U17","WA Cup Gold Div"
"NW United Black G00",1597,17.17,14.63,21,"WA","Burlington","Win RCL G00 Div 3","WYS Presidents Cup G00"
"FC Portland White G00",1596,12.84,19.36,10,"OR","Portland","Win OYS G00 Div 1",""
"Crossfire Premier B G00",1589,17.35,13.66,21,"WA","Redmond","Win RCL G00 Div 3","WYS Presidents Cup G00"
"Breakers Black Croft G00",1581,20.35,11.02,13,"WA","Spokane","Win PSPL WSPL 1 (00) U17",""
"FC Edmonds Crew G00",1555,17.64,10.59,20,"WA","Edmonds","Win PSPL Classic 1 (00) U17",""
"LWPFC White Piranhas G00",1551,14.52,12.56,16,"WA","Redmond","Win PSPL WSPL 2 (00) U17","WA Cup Silver Div"
"Spokane Foxes Premier G00",1548,16.53,10.82,18,"WA","Spokane","Win PSPL WSPL 1 (00) U17","WA Cup Gold Div"
"THUSC Silver G00",1537,15.16,10.89,17,"OR","Tualatin Hills","Win OYS G00 Premier","OYS State Cup G00"
"Pacific FC Orange G00",1534,15.13,10.72,27,"WA","Battleground","Win OYS G00 Premier","WYS Presidents Cup G00 Div 2"
"WPFC White G00",1529,13.92,11.26,29,"WA","Tacoma","Win RCL G00 Div 3","WYS Presidents Cup G00 Div 2"
"Seattle United S Blue G00",1528,17.15,9.03,23,"WA","Seattle","Win NPSL Div 1 (00) U17","WYS Presidents Cup G00 Div 2"
"SGESC Fusion Navy G00",1518,15.92,9.14,23,"WA","Graham","Win PSPL Classic 2 (00) U17","WA Cup Silver Div"
"Seattle United NE Blue G00",1510,14.42,9.48,20,"WA","Seattle","Win NPSL Div 1 (00) U17","WYS Presidents Cup G00 Div 2"
"Cascade FC Green G00",1507,13.39,10.06,25,"WA","Snoqualmie","Win PSPL WSPL 2 (00) U17","WA Cup Gold Div"
"PacNW White G00",1496,14.05,8.84,28,"WA","Tukwila","Win RCL G00 Div 3","WYS Presidents Cup G00 Div 2"
"Southlake Select Rockets G00",1495,20.07,6.15,26,"WA","Renton","Win NPSL Div 1 (00) U17","WYS Presidents Cup G00 Div 2"
"Spokane Sounders C G00",1470,12.65,8.24,21,"WA","Spokane","Win RCL G00 Div 3","WYS Presidents Cup G00 Div 2"
"Seattle United W Blue G00",1466,11.62,8.72,20,"WA","Seattle","Win NPSL Div 1 (00) U17","WYS Presidents Cup G00 Div 2"
"Thelo Adrenaline G00",1465,19.13,5.26,10,"OR","Milwaukie","Win OYS G00 Div 1",""
"Washington Timbers Red 1 G00",1458,10.47,9.16,18,"WA","Vancouver","Win OYS G00 Div 1",""
"TC United Navy G00",1456,11.68,8.09,26,"WA","Lacey","Win PSPL WSPL 2 (00) U17","WA Cup Silver Div"
"NSC Edge G00",1451,8.65,10.54,16,"WA","Woodinvile","Win NPSL Div 1 (00) U17",""
"FME Fusion G00",1443,10.48,8.23,24,"WA","Fife","Win NPSL Div 1 (00) U17","WYS Presidents Cup G00 Div 2"
"MRFC Blue G00",1443,15.15,5.69,23,"WA","Bonney Lake","Win PSPL Classic 2 (00) U17","WA Cup Silver Div"
"MVP Marauders Navy G00",1432,12.85,6.22,17,"WA","Maple Valley","Win PSPL Classic 1 (00) U17","WA Cup Silver Div"
"RV Slammers Orange G00",1429,8.96,8.71,24,"WA","Auburn","Win RCL G00 Div 2","WYS Presidents Cup G00"
"Breakers Black Wilson G00",1427,12.73,6.06,17,"WA","Spokane","Win PSPL WSPL 2 (00) U17","WA Cup Silver Div"
"PCU Black 1 G00",1424,7.47,10.15,10,"OR","Portland","Win OYS G00 Div 1",""
"Crossfire OR Blue II Rain G00",1419,12.37,5.89,13,"OR","Tigard","Win OYS G00 Div 1",""
"Rogue Valley Timbers White G00",1416,10.2,7.01,10,"OR","Medford","Win OYS G00 Div 1",""
"Shoreline SC Verrou G00",1415,9.41,7.56,18,"WA","Shoreline","Win PSPL Classic 1 (00) U17","WA Cup Bronze Div"
"Snohomish United Black G00",1408,9.22,7.36,24,"WA","Snohomish","Win RCL G00 Div 3","WYS Presidents Cup G00 Div 2"
"Highline Premier Blue G00",1408,6.66,10.19,28,"WA","Burien","Win PSPL Classic 1 (00) U17","WA Cup Gold Div"
"NW United Red G00",1404,11.18,5.87,15,"WA","Burlington","Win NPSL Div 2 (00) U17",""
"Pacific FC Blue G00",1392,7.71,7.87,14,"WA","Battleground","Win OYS G00 Div 1",""
"FPSC Fury White G00",1389,8.4,7.07,22,"WA","Tacoma","Win PSPL Classic 1 (00) U17","WA Cup Silver Div"
"Breakers Puzio G00",1387,6.74,8.66,11,"WA","Spokane","",""
"ISC Gunners B G00",1358,7.24,6.61,26,"WA","Issaquah","Win PSPL Classic 2 (00) U17","WA Cup Bronze Div"
"ETFC Sol Red G00",1350,6.49,6.96,13,"OR","Eugene","Win OYS G00 Div 1",""
"Kent United Green G00",1349,9.8,4.58,24,"WA","Kent","Win NPSL Div 1 (00) U17","WYS Presidents Cup G00 Div 2"
"Lake Hills Pumas G00",1331,7.51,5.29,18,"WA","Bellevue","Win NPSL Div 1 (00) U17","WYS Presidents Cup G00 Div 2"
"GS Surf C G00",1325,5.97,6.39,29,"WA","Bothel","Win RCL G00 Div 3","WYS Presidents Cup G00 Div 2"
"Seattle United Shoreline Blue G00",1306,6.34,5.26,22,"WA","Seattle","Win NPSL Div 1 (00) U17","WYS Presidents Cup G00 Div 2"
"Crossfire Select Metzger G00",1284,5,5.74,27,"WA","Redmond","Win NPSL Div 1 (00) U17",""
"CSC Velocity Green G00",1273,5.73,4.62,22,"WA","Renton","Win PSPL Classic 2 (00) U17","WA Cup Bronze Div"
"TC United White G00",1255,6.49,3.61,20,"WA","Lacey","Win PSPL Classic 2 (00) U17","WA Cup Bronze Div"
