"name","alt.name","venue"
"Alberta Storm FC G02","Storm U15 Kehoe","Sounders FC Cup GU15"
"Albion SC Academy G02","ALBION SC ACADEMY (CAS)","Surf Cup Black U15"
"Albion SC Academy G02","Albion SC G02 Academy","FWRL CAS G02"
"Albion SC Academy G02","ALBION SC ACADEMY G02 (CAS)","Carlsbad Nov Nights College Showcase Elite U15"
"Arizona Arsenal Premier Teal G02","AZ ARSENAL 02 PREMIER TEAL (AZ)","Surf Cup Super White U15"
"Arizona Arsenal Premier Teal G02","AZ ARSENAL 02 PREMIER TEAL","FWRL Desert 2002 U15"
"Arizona Arsenal Premier Teal G02","AZ ARSENAL 02 PREMIER TEAL (AZ)","Surf College Showcase Super Black U15"
"Arizona Thunder Bayern Elite G02","ARIZONA AZSC THUNDER 02G BAYERN ELITE","FWRL Desert 2002 U15"
"Arizona Thunder Bayern Elite G02","AZSC 02G Bayern Elite","Nomads Thanksgiving 1st Division U15"
"Arsenal FC ECNL G02","ARSENAL FC ECNL 02 -BROWN (CAS)","Surf Cup Super Black U15"
"Arsenal FC ECNL G02","ARSENAL FC ECNL 02 -BROWN (CAS)","Surf College Showcase Super Black U15"
"Arsenal FC ECNL G03","ARSENAL FC ECNL 03 -BROWN (CAS)","Nike Crossfire Challenge Super Group U15"
"Arsenal FC EGSL G02","ARSENAL FC EGSL 02- BROWN (CAS)","Nike Crossfire Challenge Gold Group U15"
"Arsenal FC EGSL G02","ARSENAL FC EGSL 02- BROWN (CAS)","Surf College Showcase Super White U15"
"Arsenal FC South G02","ARSENAL FC SOUTH - G02 SOLIS (CAS)","Oswego Nike Cup Gold U15"
"ASE Emerald G02","ASE G02 STEPHENSON (USA)","Les Schwab NW Cup Girls U15 U15"
"ASE Emerald G02","ASE G02 Stephenson","Xtreme Cup GU15 Silver"
"ASE Emerald G02","ASE G02 Stephenson","Win PSPL Girls Classic 2 (02) U15"
"ASE Emerald G02","ASE G02 STEPHENSON","WA Cup Bronze Division"
"Ashland SC Crossfire G03","ASC Crossfire","SOCL Cascade U15"
"Ashland SC G04","ASC 04/05G","SOCL Cascade U15"
"Auburn Blast G02","Auburn Blast","SSUL G02 Division 2"
"AYSO Fire and Ice G02","AYSO 870 Fire and Ice","Capital Cup GU15"
"AYSO Fire and Ice G02","Fire and Ice","Summer Slam Gold/Silver U15"
"Basin Utd Fury G03","BUSC Fury","SOCL Cascade U15"
"Basin Utd Rage G02","BUSC Rage","SOCL Cascade U15"
"Basin Utd Rage G03","BUSC U14 Rage","SOCL Cascade U15"
"BDMS Dynamite G02","BDMS DYNAMITE (CANADA)","SX Cup Girls U15 Metro - Tier 2 U15"
"Beach FC Academy G02","BEACH FC G02 ACADEMY (CAS)","Surf Cup Super Black U15"
"Beach FC Academy G02","Beach FC G02 Academy","FWRL CAS G02"
"Beach FC SB G02","Beach FC SB G02 Torres","FWRL CAS G02"
