"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Seattle United Copa G04",1604,14,18.74,38,"WA","Seattle","RCL G04 Div 1","Win RCL G04 Div 1","FWRL04, WYS Championship G04"
"Eastside FC Red G04",1603,15.61,16.71,44,"WA","Preston","RCL G04 Div 1","Win RCL G04 Div 1","FWRL04, WYS Championship G04"
"Crossfire Premier A G04",1539,12.69,13.17,53,"WA","Redmond","RCL G04 Div 1","Win RCL G04 Div 1","NWCL 04, WYS Championship G04"
"PacNW Maroon G04",1506,12.52,10.66,41,"WA","Tukwila","RCL G04 Div 1","Win RCL G04 Div 1","FWRL04, WYS Championship G04"
"WPFC Black G04",1435,9.68,8.4,51,"WA","Tacoma","RCL G04 Div 1","Win RCL G04 Div 1","FWRL04, NWCL 04, WYS Championship G04"
"Crossfire OR SSC Blue I G04",1385,7.79,7.43,44,"OR","Tigard","PTT G04 Premier","Spr OYS G04 Premier Red","NWCL 04, OYS State Cup G04"
"THUSC Selenium Black G04",1377,7.94,6.86,51,"OR","Tualatin Hills","PTT G04 Premier","Spr OYS G04 Premier Red","FWRL04, NWCL 04, OYS State Cup G04"
"NEU White G04",1374,7.71,6.95,38,"OR","Portland","PTT G04 Premier","Spr OYS G04 Premier Red","NWCL 04, OYS State Cup G04"
"FPSC Fury Black G04",1357,6.87,6.9,46,"WA","Tacoma","PSPL WSPL 1 U13","Spr PSPL SuperLeague U13","WA Cup U13 Gold U13"
"Eastside Timbers Red G04",1355,10.68,4.38,37,"OR","Gresham","PTT G04 Premier","Spr OYS G04 Premier Red","OYS State Cup G04"
"Seattle United Tango G04",1335,8.9,4.59,33,"WA","Seattle","RCL G04 Div 1, RCL G04 7V2","Win RCL G04 Div 1","WYS Championship G04"
"Idaho Rush Premier G04",1319,9.09,4.01,17,"ID","Boise","Idaho D3 U13G Div 1 U13, Idaho D3 U14G Div 1 U14","Spr Idaho D3 U13/14 Div 1","NWCL 04"
"GS Surf A G04",1317,6.77,5.3,35,"WA","Bothel","RCL G04 Div 1","Win RCL G04 Div 1","FWRL04, WYS Championship G04"
"Washington Timbers Red 1 G04",1308,7.71,4.4,30,"WA","Vancouver","PTT G04 Premier","Spr OYS G04 Premier Red","OYS State Cup G04"
"Harbor Premier Green G04",1299,7.56,4.21,43,"WA","Gig Harbor","RCL G04 Div 2, RCL G04 7V2","Win RCL G04 Div 2","WYS Championship G04"
"Spokane Sounders A G04",1292,4.69,6.47,37,"WA","Spokane","RCL G04 Div 2","Win RCL G04 Div 2","NWCL 04, WYS Championship G04"
"Seattle United Samba G04",1279,4.37,6.31,22,"WA","Seattle","RCL G04 Div 2","Win RCL G04 Div 2","WYS Presidents Cup G04 Div 1"
