"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2016-06-09,"PVSC United Lady Jags G02",2,"Upper Valley Madison United G02",5,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-09,"Jackson Hole United G02",4,"BYSL Ballistic SC G02",2,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"FWFC Blue G04",8,"New Millenium FC Vikings G04",0,"Starfire Spring Classic GU13","neutral","neutral","Turf"
2016-06-10,"Wasatch Flash G03",6,"BYSL Ballistic SC G02",0,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"PVSC United Lady Jags G02",5,"BYSL Ballistic SC G02",1,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"Wasatch Flash G03",2,"Upper Valley Madison United G02",1,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"PVSC United Lady Jags G02",2,"Jackson Hole United G02",6,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"Coastal FC G04",0,"FWFC Blue G04",2,"Starfire Spring Classic GU13","neutral","neutral","Turf"
2016-06-11,"Surrey United G04",11,"New Millenium FC Vikings G04",0,"Starfire Spring Classic GU13","neutral","neutral","Turf"
2016-06-11,"ETFC Akers Black G04",8,"NK Chaos G04",0,"Starfire Spring Classic GU13","neutral","neutral","Turf"
2016-06-11,"Coastal FC G04",1,"Eastside FC White G04",0,"Starfire Spring Classic GU13","neutral","neutral","Turf"
2016-06-11,"FWFC Blue G04",0,"Surrey United G04",2,"Starfire Spring Classic GU13","neutral","neutral","Turf"
2016-06-11,"New Millenium FC Vikings G04",0,"ETFC Akers Black G04",7,"Starfire Spring Classic GU13","neutral","neutral","Turf"
2016-06-11,"NK Chaos G04",0,"Eastside FC White G04",11,"Starfire Spring Classic GU13","neutral","neutral","Turf"
2016-06-11,"Wasatch Flash G03",1,"Jackson Hole United G02",0,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"Jackson Hole United G02",1,"Upper Valley Madison United G02",0,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"PVSC United Lady Jags G02",0,"Wasatch Flash G03",8,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"BYSL Ballistic SC G02",4,"Upper Valley Madison United G02",1,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-12,"ETFC Akers Black G04",0,"Surrey United G04",6,"Starfire Spring Classic GU13","neutral","neutral","Grass"
2016-06-12,"Eastside FC White G04",0,"FWFC Blue G04",3,"Starfire Spring Classic GU13","neutral","neutral","Unk"
2016-06-12,"NK Chaos G04",0,"Coastal FC G04",14,"Starfire Spring Classic GU13","neutral","neutral","Grass"
2016-06-12,"Surrey United G04",2,"FWFC Blue G04",0,"Starfire Spring Classic GU13","neutral","neutral","Turf"
2016-06-17,"Crossfire OR SSC Blue I G04",2,"Seattle United Tango G04",2,"Rainier Challenge Samba U13","neutral","neutral","Grass"
2016-06-17,"Crossfire Premier B G04",3,"WPFC White G04",4,"Rainier Challenge Copa U13","neutral","neutral","Grass"
2016-06-17,"Seattle United Samba G04",10,"MRFC White G04",0,"Rainier Challenge Copa U13","neutral","neutral","Grass"
2016-06-17,"PacNW White G04",1,"Eastside FC Blue G04",3,"Rainier Challenge Copa U13","neutral","neutral","Grass"
2016-06-17,"WA Rush G04",1,"PacNW Blue G04",0,"Rainier Challenge Copa U13","neutral","neutral","Grass"
2016-06-17,"Snohomish United Black G04",0,"GS Surf A G04",6,"Snohomish United Invit Gold","neutral","neutral","Grass"
2016-06-18,"Eastside FC Red G04",2,"Crossfire OR SSC Blue I G04",1,"Rainier Challenge Samba U13","neutral","neutral","Grass"
2016-06-18,"Seattle United Tango G04",1,"Seattle Celtic Green G04",0,"Rainier Challenge Samba U13","neutral","neutral","Grass"
2016-06-18,"Seattle Celtic Green G04",0,"Eastside FC Red G04",5,"Rainier Challenge Samba U13","neutral","neutral","Grass"
2016-06-18,"WPFC White G04",6,"PacNW White G04",0,"Rainier Challenge Copa U13","neutral","neutral","Grass"
2016-06-18,"Eastside FC Blue G04",0,"Crossfire Premier B G04",5,"Rainier Challenge Copa U13","neutral","neutral","Grass"
2016-06-18,"PacNW Blue G04",2,"Seattle United Samba G04",0,"Rainier Challenge Copa U13","neutral","neutral","Grass"
2016-06-18,"MRFC White G04",0,"WA Rush G04",12,"Rainier Challenge Copa U13","neutral","neutral","Grass"
2016-06-18,"Crossfire Premier B G04",5,"PacNW White G04",0,"Rainier Challenge Copa U13","neutral","neutral","Grass"
2016-06-18,"WPFC White G04",2,"Eastside FC Blue G04",1,"Rainier Challenge Copa U13","neutral","neutral","Grass"
2016-06-18,"PacNW Blue G04",9,"MRFC White G04",0,"Rainier Challenge Copa U13","neutral","neutral","Grass"
2016-06-18,"WA Rush G04",4,"Seattle United Samba G04",1,"Rainier Challenge Copa U13","neutral","neutral","Grass"
2016-06-18,"NW United Red G04",2,"Richmond FC Galaxy G04",2,"Skagit Firecracker Gold U13","neutral","neutral","Grass"
2016-06-18,"Dragons FC G04",3,"Whatcom FC Rangers Blue G04",4,"Skagit Firecracker Gold U13","neutral","neutral","Grass"
2016-06-18,"Whatcom FC Rangers Blue G04",5,"NW United Red G04",1,"Skagit Firecracker Gold U13","neutral","neutral","Grass"
2016-06-18,"Richmond FC Galaxy G04",3,"Dragons FC G04",1,"Skagit Firecracker Gold U13","neutral","neutral","Grass"
2016-06-18,"NSC White Impact G04",0,"NSGSC Renegades G04",9,"Snohomish United Invit Gold","neutral","neutral","Grass"
2016-06-18,"NSGSC Renegades G04",0,"GS Surf A G04",4,"Snohomish United Invit Gold","neutral","neutral","Grass"
2016-06-18,"Snohomish United Black G04",6,"NSC White Impact G04",0,"Snohomish United Invit Gold","neutral","neutral","Grass"
2016-06-18,"Highline Select G04",0,"Snohomish United Red G04",0,"Snohomish United Invit Silver","neutral","neutral","Grass"
2016-06-18,"FME Fusion G04",1,"GS Surf B G04",4,"Snohomish United Invit Silver","neutral","neutral","Grass"
