"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"Crossfire Premier A B03",1848,36.36,39.3,51,"WA","Redmond","RCL B03 Div 1","Win RCL B03 Div 1","NWCL 03, WYS Championship B03"
"GS Surf A B03",1764,27.73,28.78,45,"WA","Bothel","RCL B03 Div 1","Win RCL B03 Div 1","FWRL03, WYS Championship B03"
"Seattle United Copa B03",1710,27.57,19.93,41,"WA","Seattle","RCL B03 Div 1","Win RCL B03 Div 1","FWRL03, WYS Championship B03"
"PacNW Maroon B03",1657,24.08,15.83,56,"WA","Tukwila","RCL B03 Div 1","Win RCL B03 Div 1","FWRL03, WYS Championship B03"
"NPSA Titans Navy B03",1653,16.92,21.81,30,"WA","Bellevue","PSPL WSPL 1 U14","Spr PSPL SuperLeague 1 U14","WA Cup U14 Gold U14"
"Eastside FC Red B03",1602,19.57,13.23,44,"WA","Preston","RCL B03 Div 1","Win RCL B03 Div 1","FWRL03, WYS Championship B03"
"NW United Black B03",1585,18.49,12.47,56,"WA","Burlington","RCL B03 Div 1","Win RCL B03 Div 1","NWCL 03, WYS Championship B03"
"WA Rush B03",1580,22.49,9.87,41,"WA","Everett","RCL B03 Div 2","Win RCL B03 Div 2","WYS Championship B03"
"WPFC Black B03",1573,20.98,10.14,41,"WA","Tacoma","RCL B03 Div 1, RCL B03 7v2","Win RCL B03 Div 1","NWCL 03, WYS Championship B03"
"FC Portland Navy B03",1550,17.43,10.39,42,"OR","Portland","PTT B03 Premier Green","Spr OYS B03 Premier Green","NWCL 03, OYS State Cup B03"
"Seattle United Tango B03",1543,20.32,8.5,34,"WA","Seattle","RCL B03 Div 2, RCL B03 7v2","Win RCL B03 Div 2","WYS Championship B03"
"Eastside Timbers Red B03",1523,14.53,10.3,43,"OR","Gresham","PTT B03 Premier Green","Spr OYS B03 Premier Green","FWRL03, OYS State Cup B03"
"Crossfire Premier B B03",1508,12.03,11.21,39,"WA","Redmond","RCL B03 Div 3","Win RCL B03 Div 2","WYS Presidents Cup B03 Div 1"
"Dragons FC B03",1480,22.51,4.94,8,"WA","Seattle","","Spr PSPL SuperLeague 1 U14",""
"GS Surf B B03",1475,13.36,8.03,33,"WA","Bothel","RCL B03 Div 2","Win RCL B03 Div 2","WYS Presidents Cup B03 Div 1"
"Snohomish United Black B03",1465,13.98,7.21,41,"WA","Snohomish","RCL B03 Div 1","Win RCL B03 Div 2","WYS Presidents Cup B03 Div 1"
"Washington Timbers Red 1 B03",1459,15.02,6.41,30,"WA","Vancouver","RCL B03 Div 2","Win RCL B03 Div 1","WYS Championship B03"
"WPFC White B03",1458,8.29,11.56,43,"WA","Tacoma","RCL B03 Div 3, RCL B03 7v2","Win RCL B03 Div 2","WYS Presidents Cup B03 Div 1"
"Eastside FC White B03",1450,9.45,9.56,49,"WA","Preston","RCL B03 Div 2","Win RCL B03 Div 2","WYS Presidents Cup B03 Div 1"
"Capital FC Timbers Red B03",1449,8.05,11.15,47,"OR","Salem","PTT B03 Premier White","Spr OYS B03 Premier Green","FWRL03, OYS State Cup B03"
