"name","alt.name","venue"
"3 Rivers Black B04","3RSC B04 Black","Clash At the Border Div 1 Gold/Silver U13"
"3 Rivers Black B04","3RSC B2004 BLACK","RCL B04 Div 1"
"3 Rivers Black B04","3RSC Black RCL B04","Mt Hood Challenge U13 Gold"
"3 Rivers Black B04","3RSC B2004 BLACK","Win RCL B04 Div 1"
"3 Rivers Black B04","3RSC B2004 BLACK","WYS Championship B04"
"3 Rivers Green B04","3RSC B2004 GREEN","RCL B04 Div 4"
"3 Rivers Green B04","3RSC B04 RCL Green","Beaverton Cup BU13 Silver"
"3 Rivers Green B04","3RSC B2004 GREEN","Win RCL B04 Div 3"
"3 Rivers Green B04","3RSC B2004 GREEN","WYS Presidents Cup B04 Division 1"
"3 Rivers Grey B04","Three Rivers Soccer Club 3rsc B04 pspl Gray","PSPL-Inland Copa 1 West U13"
"3 Rivers Grey B04","Three Rivers Soccer Club 3rsc B04 pspl Gray","Spr PSPL-Inland Copa 2 U13"
"3 Rivers White B04","3RSC WHITE (WA)","Les Schwab NW Cup U13 Boys U13"
"3 Rivers White B04","Three Rivers Soccer Club 3rsc B04 pspl white","PSPL-Inland Copa 1 West U13"
"3 Rivers White B04","Three Rivers Soccer Club 3rsc B04 pspl white","Spr PSPL-Inland Copa 1 U13"
"4-H Barcelona B04","4-H Barcelona 2004","Mt Hood Challenge U13 Gold"
"4-H Bayern Munich B04","4-H Bayern Munich B2004","Mt Hood Challenge U13 Gold"
"4-H Bayern Munich B04","4-H Bayern Munich","Capital Cup BU13 Gold"
"4-H FC Joga B04","4-H 04B FC Joga","Spr OYS B04 Premier White"
"4-H FC Joga B04","4-H 04B FC Joga","OYS State Cup B04"
"4-H Penarol B04","4-H Penarol B04","Capital Cup BU13 Gold"
"4-H PSG B B04","4-H 04B PSG Patrick","Spr OYS B04 Division 1 White"
"4-H PSG B B04","4-H 04B PSG Patrick","OYS State Cup B04"
"4-H PSG B04","4H PSG 2004 Boys","Clash At the Border Div 1 Gold/Silver U13"
"4-H PSG B04","4H PSG 04 BOYS (OR)","Oswego Nike Cup Gold/Silver U13"
"4-H PSG B04","4-H 04B PSG Hector","PTT B04 Premier"
"4-H PSG B04","4-H 04B PSG Hector","Spr OYS B04 Premier Green"
"4-H PSG B04","4-H 04B PSG Hector","OYS State Cup B04"
"Academia de Futebol ADF B04","ACADEMIA DE FUTEBOLTRAINING 04 (OR)","Surf Cup Super Black U13"
"Academia de Futebol ADF B04","ACADEMIA DE FUTEBOLTRAINING ADF 04 (OR)","Nike Crossfire Challenge Super Group U13"
"Academia de Futebol ADF B04","ADF 04B","PTT B04 Premier"
"Academia de Futebol ADF B04","ADF 04B","FWRL B04"
"Academia de Futebol ADF B04","LA AMISTAD ADF 04","NWCL Boys 04"
"Academia de Futebol ADF B04","ADF 04B FWRL","FWRL B04"
"Academia de Futebol ADF B04","ADF 04B FWRL","PTT B04 Premier"
"Academia de Futebol ADF B04","ADF 04B FWRL","Spr OYS B04 Premier Green"
"Academia de Futebol ADF B04","ADF 04B FWRL","OYS State Cup B04"
"Academia Leon B04","Academia Leon B2004","Mt Hood Challenge U13 Bronze"
"Academia Leon B04","Academia Leon FC 04B","PTT B04 Division 1 White"
"Academia Leon B04","Academia Leon B2004","Capital Cup BU13 Silver"
"Academia Leon B04","Academia Leon FC 04B","OYS Founders Cup B04"
"Academia Leon B04","Academia Leon FC 04B","Spr OYS B04 Division 2 White"
"Albion SC Academy B04","ALBION SC B04 ACADEMY GARTON (CAS)","Surf Cup Super Black U13"
"Albion SC USSDA B03","ALBION SC 03 USSDA (CAS)","Surf Cup USSDA Black U13"
"Aloha United Atletico Black B04","AUSC Atletico","Clash At the Border Div 2 Gold/Silver U13"
"Aloha United Atletico Black B04","ALOHA UNITED ATLETICO BLACK U13 (OR)","Oswego Nike Cup Gold/Silver U13"
"Aloha United Atletico Black B04","AUCSC 04B Atletico Black","PTT B04 Division 1 White"
"Aloha United Atletico Black B04","AUCSC 04B Atletico Black","OYS Presidents Cup B04"
"Aloha United Atletico Black B04","AUCSC 04B Atletico Black","Spr OYS B04 Division 1 White"
"Arsenal FC B04","ARSENAL FC ARSENAL B04 (CAS)","Oswego Nike Cup Gold/Silver U13"
"Arsenal FC North USSDA B03","ARSENAL FC NORTH 2003 USSDA (CAS)","Surf Cup USSDA Black U13"
"ASE B04","ASE HALE B04","Central WA Super Cup Boys U13 Gold"
"ASE B04","ASE Boys O4","PSPL-Inland Copa 1 West U13"
"ASE B04","ASE Boys O4","Spr PSPL-Inland Copa 1 U13"
