"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2016-06-09,"Upper Valley Madison United B03",2,"BYSL Blackhawks B03",3,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-09,"Upper Valley Madison United B B03",1,"BYSA Blacksnakes B04",1,"Yellowstone Cup Bronze","neutral","neutral","Grass"
2016-06-09,"Teton FC B03",4,"BYSL Bluebirdz B04",5,"Yellowstone Cup Bronze","neutral","neutral","Grass"
2016-06-10,"Seattle Celtic -Unk B05",1,"Eclipse FC Eclipse B05",4,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-10,"Highline Premier Heat Blue B05",2,"Tynecastle FC B05",8,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-10,"Fenix FC B05",4,"LWPFC White Arapaimas B05",5,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-10,"Eclipse FC Tuzitos B05",1,"Rebano 2 -Unk B05",0,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-10,"FC Idaho B04",5,"BYSL Golden Hurricanes B03",1,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"Upper Valley Madison United B03",2,"FC Idaho B04",1,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"BYSL Golden Hurricanes B03",0,"Upper Valley Madison United B03",5,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"BYSL Blackhawks B03",5,"FC Idaho B04",0,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"Snake River Strikers B05",6,"BYSA Blacksnakes B04",1,"Yellowstone Cup Bronze","neutral","neutral","Grass"
2016-06-10,"Upper Valley Madison United B B03",1,"Snake River Strikers B05",4,"Yellowstone Cup Bronze","neutral","neutral","Grass"
2016-06-10,"Bridger Valley B04",0,"BYSL Bluebirdz B04",5,"Yellowstone Cup Bronze","neutral","neutral","Grass"
2016-06-10,"Bridger Valley B04",0,"Teton FC B03",4,"Yellowstone Cup Bronze","neutral","neutral","Grass"
2016-06-11,"Eclipse FC Eclipse B05",2,"Pumas UNAM B05",3,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-11,"Pacific FC Rangers B05",4,"Seattle Celtic -Unk B05",3,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-11,"FC Edmonds B05",3,"Fenix FC B05",3,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-11,"LWPFC White Arapaimas B05",1,"Chilliwack FC Selects B05",3,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-11,"Tynecastle FC B05",6,"Eclipse FC Tuzitos B05",4,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-11,"Highline Premier Heat Blue B05",1,"Rebano 2 -Unk B05",0,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-11,"Eclipse FC Eclipse B05",10,"Pacific FC Rangers B05",3,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-11,"Pumas UNAM B05",4,"Seattle Celtic -Unk B05",2,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-11,"FC Edmonds B05",1,"LWPFC White Arapaimas B05",2,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-11,"Chilliwack FC Selects B05",6,"Fenix FC B05",2,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-11,"Eclipse FC Tuzitos B05",4,"Highline Premier Heat Blue B05",2,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-11,"Rebano 2 -Unk B05",0,"Tynecastle FC B05",1,"Starfire Spring Classic BU12","neutral","neutral","Turf"
2016-06-11,"BYSL Golden Hurricanes B03",1,"BYSL Blackhawks B03",2,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"BYSL Blackhawks B03",3,"Upper Valley Madison United B03",2,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"Snake River Strikers B05",3,"Teton FC B03",2,"Yellowstone Cup Bronze","neutral","neutral","Grass"
2016-06-11,"BYSL Bluebirdz B04",6,"Upper Valley Madison United B B03",1,"Yellowstone Cup Bronze","neutral","neutral","Grass"
2016-06-11,"BYSA Blacksnakes B04",6,"Bridger Valley B04",4,"Yellowstone Cup Bronze","neutral","neutral","Grass"
2016-06-11,"Snake River Strikers B05",2,"BYSL Bluebirdz B04",1,"Yellowstone Cup Bronze","neutral","neutral","Grass"
2016-06-12,"Pacific FC Rangers B05",1,"Pumas UNAM B05",5,"Starfire Spring Classic BU12","neutral","neutral","Turf"
2016-06-12,"Chilliwack FC Selects B05",3,"FC Edmonds B05",1,"Starfire Spring Classic BU12","neutral","neutral","Turf"
2016-06-12,"Tynecastle FC B05",2,"Eclipse FC Eclipse B05",7,"Starfire Spring Classic BU12","neutral","neutral","Turf"
2016-06-12,"Chilliwack FC Selects B05",2,"Pumas UNAM B05",3,"Starfire Spring Classic BU12","neutral","neutral","Grass"
2016-06-12,"Eclipse FC Eclipse B05",5,"Pumas UNAM B05",0,"Starfire Spring Classic BU12","neutral","neutral","Turf"
2016-06-17,"WA Rush Nero B05",1,"EPIC B05",7,"Skagit Firecracker Gold U12","neutral","neutral","Grass"
2016-06-17,"Hammers FC Black B05",1,"NW United Black B05",5,"Skagit Firecracker Gold U12","neutral","neutral","Grass"
2016-06-17,"NW United White B05",1,"NWSC Deception FC Black B05",6,"Skagit Firecracker Silver U12","neutral","neutral","Grass"
2016-06-18,"NW United Black B05",4,"WA Rush Nero B05",0,"Skagit Firecracker Gold U12","neutral","neutral","Grass"
2016-06-18,"EPIC B05",2,"NW United Black B05",8,"Skagit Firecracker Gold U12","neutral","neutral","Grass"
2016-06-18,"WA Rush Nero B05",0,"Hammers FC Black B05",8,"Skagit Firecracker Gold U12","neutral","neutral","Grass"
2016-06-18,"NWSC Deception FC Black B05",2,"BIFC White B05",0,"Skagit Firecracker Silver U12","neutral","neutral","Grass"
2016-06-18,"NW United Red B05",3,"NW United White B05",4,"Skagit Firecracker Silver U12","neutral","neutral","Grass"
2016-06-18,"BIFC White B05",1,"NW United White B05",1,"Skagit Firecracker Silver U12","neutral","neutral","Grass"
2016-06-18,"NW United Red B05",3,"NWSC Deception FC Black B05",7,"Skagit Firecracker Silver U12","neutral","neutral","Grass"
2016-06-18,"North Vancouver FC Fury B05",6,"Snohomish United Black B05",2,"Snohomish United Invit Gold","neutral","neutral","Grass"
2016-06-18,"Crossfire Premier B B05",1,"GS Surf A B05",3,"Snohomish United Invit Gold","neutral","neutral","Grass"
