name,alt.name,venue
3 Rivers Black B05,3RSC B05 BLACK (WA),Les Schwab NW Cup U12 Boys GOLD U12
3 Rivers Black B05,THREE RIVERS SC B05 BLACK (WA),Nike Crossfire Challenge Silver 9v9 U12
3 Rivers Black B05,3RSC B2005 BLACK,RCL B05 Div 3 9Aside
3 Rivers Black B05,3RSC B2005 BLACK,Win RCL B05 Div 2
3 Rivers Black B05,3RSC B2005 BLACK,WYS Presidents Cup B05 Division 1
3 Rivers Green B05,3 RIVERS SOCCER 3 RIVERS B05 GREEN U-12 (WA),Les Schwab NW Cup U12 Boys GOLD U12
3 Rivers Green B05,3RSC B2005 GREEN,RCL B05 Div 4 9Aside
3 Rivers Green B05,3RSC B2005 GREEN,Win RCL B05 Div 4
3 Rivers Green B05,3RSC B2005 GREEN,WYS Presidents Cup B05 Division 2
3 Rivers White B05,THREE RIVERS B12 DISTRICT WAGAR (WA),Les Schwab NW Cup U12 Boys SILVER U12
3 Rivers White B05,Three Rivers Soccer Club 3rsc B05 pspl White,PSPL-Inland Copa 1 West U12
3 Rivers White B05,Three Rivers District BU12,Sounders FC Cup BU12 Bronze
3 Rivers White B05,Three Rivers Soccer Club 3rsc B05 pspl White,Spr PSPL-Inland Copa Classic U12
4-H Arsenal B05,4-H Arsenal,Capital Cup BU12
4-H Arsenal B05,4-H Arsenal,Mt Hood Challenge U12 Gold
4-H Arsenal B05,4-H 05B Arsenal Genaro,PTT B05 Premier White
4-H Arsenal B05,4-H 05B Arsenal Genaro,Spr OYS B05 Division 1 White
4-H Cosmos B05,4-H Cosmos,Capital Cup BU12
4-H Cosmos B05,4-H Cosmos,Mt Hood Challenge U12 Silver
4-H Cosmos B05,4-H 05B Cosmos,PTT B05 Division 1 Green
4-H Cosmos B05,4-H 05B Cosmos,OYS Presidents Cup B05
4-H Cosmos B05,4-H 05B Cosmos,Spr OYS B05 Division 1 White
4-H FC Joga B05,4-H FC Joga Jrs,Capital Cup BU12
4-H FC Joga B05,4-H FC Joga Jrs,Mt Hood Challenge U12 Gold
4-H FC Joga B05,4-H 05B Joga Jr,PTT B05 Premier Green
4-H FC Joga B05,4-H 05B Joga Jr,Spr OYS B05 Premier White
4-H FC Joga B05,4-H 05B Joga Jr,OYS State Cup B05
4-H Morelia B05,4H MORELIA,PCU Summer Classic U12 Boys Gold
4-H Pythons B05,4-H Pythons,Mt Hood Challenge U12 Silver
4-H Pythons B05,4-H 05B Pythons,Spr OYS B05 Division 2 White
4-H Spartans B05,4-H Spartans FC,Mt Hood Challenge U12 Silver
4-H Spartans B05,OSU 4H SPARTANS FC (OR),Oswego Nike Cup Silver U12
4-H Spartans B05,4-H 05B Spartans FC,PTT B05 Division 1 White
4-H Spartans B05,4-H 05B Spartans FC,Spr OYS B05 Division 1 Blue
4-H Toros FC B05,4-H 05B Toros FC,Spr OYS B05 Division 2 White
Academia de Futebol ADF B05,ACADEMIA DE FUTEBOLTRAINING ADF 05 (OR),Nike Crossfire Challenge Super 9v9 U12
Academia de Futebol ADF B05,LA AMISTAD ADF 05,NWCL Boys 05
Academia de Futebol ADF B05,ADF 05B,PTT B05 Premier Green
Academia de Futebol ADF B05,ACADEMIA DE FUTEBOLTRAINING ADF 05 (OR),Surf Cup Super Black U12
Academia de Futebol ADF B05,ADF 05B,Spr OYS B05 Premier Green
Academia de Futebol ADF B05,ADF 05B,OYS State Cup B05
Academia Leon B05,Academia Leon FC 05B,PTT B05 Division 2 Green
Academia Leon B05,Academia Leon FC 05B,OYS Founders Cup B05
Albion SC USSDA Blue B04,ALBION SC 04 USSDA (BLUE) (CAS),Surf Cup USSDA 2004 Blue U12
Albion SC USSDA Red B04,ALBION SC 04 USSDA (RED) (CAS),Surf Cup USSDA 2004 Black U12
Albion SC White South B05,ALBION SC WHITE SOUTH (CAS),Surf Cup Super Black U12
Aloha United Atletico Black B05,Aloha United Atletico Black U12,Chinook Cup Silver U12
Aloha United Atletico Black B05,ALOHA UNITED ATLETICO BLACK U12 (OR),Oswego Nike Cup Silver U12
Aloha United Atletico Black B05,AUCSC 05B Atletico Black,PTT B05 Division 1 Blue
Aloha United Atletico Black B05,AUCSC 05B Atletico Black,OYS Presidents Cup B05
Aloha United Atletico Black B05,AUCSC 05B Atletico Black,Spr OYS B05 Division 1 White
Aloha United Atletico Red B05,Atletico Red (Neves),Cowlitz Kickoff BU11-12
Aloha United Atletico Red B05,AUCSC 05B Atletico Red,PTT B05 Division 2 White
Aloha United Atletico Red B05,AUCSC 05B Atletico Red,Spr OYS B05 Division 2 Blue
Arsenal FC Academy USSDA B04,ARSENAL FC USSDA 2004 (USA),Surf Cup USSDA 2004 Blue U12
Arsenal FC B05,ARSENAL FC (CAS),Surf Cup Super Black U12
Arsenal -Unk B05,Arsenal (Loughran),Cowlitz Kickoff BU11-12
Arsenal -Unk B05,Arsenal 05 boys,Labor Day Cup BU12 Silver
Ashland SC Avalanche B06,ASC Avalanche,SOCL Pacific Crest U12
Ashland SC Avengers B06,ASC Avengers,SOCL Pacific Crest U12
Ashland SC Vandals B06,ASC Vandals,SOCL Pacific Crest U12
BCT Barcelona B05,19 BCT Barcelona,Baker Blast Premier U12
Bellevue United Select B05,Bellevue United FC B05 VG,Blast Off B2005 A
Bellevue United Select B05,BUFC Select B05 VanGaver,NPSL Division 3 (05) U12
Bellevue United Select B05,Bellevue United FC VanGaver B05 - BU12,Founders Cup B05 Div A
Bend FC Timbers Black B05,Bend FC Timbers 05B Black,PTT B05 Division 1 Green
Bend FC Timbers Black B05,Bend FC Timbers 05B Black,Spr OYS B05 Division 1 White
Bend FC Timbers Red B05,BFCT 2005 Boys Red,Beaverton Cup BU12 Gold
Bend FC Timbers Red B05,BEND FC TIMBERS BFCT 05B RED (OR),Bend Premier Cup Diego Valeri (Gold) Division U12
Bend FC Timbers Red B05,Bend FC Timbers 2005 Boys Red,Clash At the Border Gold U12
Bend FC Timbers Red B05,Bend FC Timbers 05B RED,PTT B05 Premier Green
Bend FC Timbers Red B05,Bend FC Timbers 05B RED,Spr OYS B05 Premier Green
Bend FC Timbers Red B05,Bend FC Timbers 05B RED,OYS State Cup B05
Bend FC Timbers White B05,BEND FC TIMBERS BFCT 05B WHITE (USA),Bend Premier Cup Ned Grabavoy (Silver) Division U12
Bend FC Timbers White B05,Bend FC Timbers (White),Clash At the Border Silver/Bronze U12
Bend FC Timbers White B05,Bend FC Timbers 05B WHITE,PTT B05 Division 1 Green
Bend FC Timbers White B05,Bend FC Timbers 05B WHITE,OYS Presidents Cup B05
Bend FC Timbers White B05,Bend FC Timbers 05B WHITE,Spr OYS B05 Division 1 White
BIFC Blue B05,Bainbridge Island FC Blue B05,Island Cup BU12 Gold
BIFC Blue B05,Bainbridge Island FC Blue B05,NPSL Division 1 (05) U12
BIFC Blue B05,BAINBRIDGE ISLAND FCBAINBRIDGE ISLAND FC BLUE B05,Snohomish United Invit Silver
BIFC Blue B05,Bainbridge Island FC Blue B05,Founders Cup B05 Div A
BIFC White B05,Bainbridge Island FC White B05,Dungeness Cup BU12 Olympic
BIFC White B05,Bainbridge Island FC White B05,Island Cup BU12 Silver
BIFC White B05,Bainbridge Island FC White B05,NPSL Division 3 (05) U12
BIFC White B05,Bainbridge Island FC 05 White,Skagit Firecracker Silver U12
BIFC White B05,Bainbridge Island FC White B05,Spr NPSL (05) Division 2 U12
Blackhills FC Black B05,Blackhills FC B05 Black,Capital Cup BU12
Blackhills FC Black B05,BLACKHILLS FC B 05 BLACK A (WA),Nike Crossfire Challenge Gold 9v9 U12
Blackhills FC Black B05,Blackhills FC B05 Black A,RCL B05 Div 2 9Aside
Blackhills FC Black B05,BLACKHILLS FC B 05 BLACK A (WA),REDAPT Cup Gold U12
Blackhills FC Black B05,Blackhills FC B05 Black A,Win RCL B05 Div 3
Blackhills FC Black B05,Blackhills FC B05 Black A,WYS Presidents Cup B05 Division 1
Blackhills FC Red B05,Blackhills FC B05 Red,Capital Cup BU12
Blackhills FC Red B05,Blackhills FC B05 Red B,RCL B05 Div 5 9Aside
Blackhills FC Red B05,BLACKHILLS FC B05 RED B (WA),REDAPT Cup Bronze U12
Blackhills FC Red B05,Blackhills FC B05 Red,Sounders FC Cup BU12 Bronze
Blackhills FC Red B05,Blackhills FC B05 Red B,Win RCL B05 Div 5
Blackhills FC Red B05,Blackhills FC B05 Red B,WYS Presidents Cup B05 Division 2
Blackhills FC White B05,Blackhills FC B05 White,Blast Off B2005 C
Blackhills FC White B05,Blackhills FC B05 White,KCC BU12
Blackhills FC White B05,Blackhills FC B05 White,River Jam Samba U12
Blackhills FC White B05,Blackhills FC B05 White C,SSUL B05 Division 2
Blackhills FC White B05,Blackhills FC B05 White C,Spr NPSL (05) Division 2 U12
Boise Nationals Timbers Blue B05,BOISE NATIONALS TIMBERS U12 2005 BLUE,Idaho D3 U12 Boys North U12
Boise Nationals Timbers Blue B05,BOISE NATIONALS TIMBERSBOISE NATIONALS TIMBERS,NWCL Boys 05
Boise Nationals Timbers Blue B05,BOISE NATIONALS TIMBERS U12 2005 BLUE,Spr Idaho D3 U12 Boys North
Boise Nationals Timbers Blue B05,BOISE NATIONALS TIMBERS BNT BLUE (ID),Canyon Rim Classic U12 B American U12
Boise Nationals Timbers Blue B05,BOISE NATIONALS TIMBERS 2005 BLUE (ID),ID Directors Cup U12B Gold U12
Boise Nationals Timbers Green B05,BOISE NATIONALS TIMBERS U12 2005 GREEN (ID),GEM State Challenge U12B Silver West U12
Boise Nationals Timbers Green B05,BOISE NATIONALS TIMBERS U12 2005 GREEN,Idaho D3 U12 Boys West U12
Boise Nationals Timbers Green B05,BOISE NATIONALS TIMBERS U12 2005 GREEN,Spr Idaho D3 U12 Boys South
