"name","alt.name","venue"
"4H Bayern Munich G00","4-H 00G Bayern Munich FC","Win OYS G00 Premier"
"4H Bayern Munich G00","4-H 00G Bayern Munich FC","OYS State Cup G00"
"Albion FC All Blacks G00","ALBION FC ALL BLACKS (CND)","SX Cup Girls U17/18 Gold - Tier 3 U17"
"Anaheim Surf EGSL G99","ANAHEIM SURF EGSL G99-THOMAS (CAS)","Showcase of Champions Girls U17/16 Diamond U17"
"Arizona Arsenal Premier Teal G00","AZ ARSENAL 00 PREMIER TEAL","FWRL Desert 2000 U17"
"Arsenal FC ECNL G00","ARSENAL FC U17 ECNL (CAS)","Surf Cup Black U17"
"Arsenal FC ECNL G00","ARSENAL FC GU17 ECNL 2000 (CAS)","Surf College Showcase Super Black U17"
"ASE Emerald G00","ACADEMY OF SOCCER EXCELLENCE ASE G00 EMERALD (WA)","WA Rush Cup G00 Gold U17"
"ASE Emerald G00","ASE G00 Emerald - Shea","Win PSPL Girls WSPL 1 (00) U17"
"ASE Emerald G01","ACADEMY OF SOCCER EXCELLENCE G01EMERALD (WA)","Bend Premier Cup Thorns Super Group (U16/17) U17"
"Beach FC Academy G00","Beach FC G00 Academy","FWRL CAS G00"
"Beach FC Academy G00","BEACH FC ACADEMY (CAS)","Surf Cup Super White U17"
"Beach FC Academy G00","Beach Academy (CA-S)","USYS National League U17"
"Bellevue Blaze G00","BELLEVUE BLAZE","Eastside FC Cup GU17"
"Bellevue United Cushing G00","BUFC Select G00 Cushing","NPSL Division 2 (00) U17"
"Bellevue United Cushing G00","BUFC Select G00 Cushing","Win NPSL Division 2 (00) U17"
"Bend FC Timbers Red G01","BEND FC TIMBERS BFCT 01G RED (USA)","Bend Premier Cup Thorns Super Group (U16/17) U17"
"Bend FC Timbers Red G99","Bend FC Timbers 99G","Clash At the Border Gold/Silver/Bronze U17"
"BIFC Black G01","Bainbridge Island FC Black G01","KITG GU17 White"
"BIFC White G00","Bainbridge Island FC White G00","KITG GU17 Green"
"BIFC White G00","BIFC G00 White","Crossfire Select U17 Silver"
"BIFC White G01","Bainbridge Island FC White G01","NPSL Division 2 (00) U17"
"BIFC White G01","Bainbridge Island FC White G01","Win NPSL Division 2 (00) U17"
"Blackhills FC Black G00","BLACKHILLS FC G 00 BLACK A (WA)","Nike Crossfire Challenge Gold Group U17"
"Blackhills FC Black G00","Blackhills FC G00 Black A","RCL G00 Div 3"
"Blackhills FC Black G00","Blackhills FC G00 Black A","Win RCL G00 Div 3"
"Blackhills FC Black G00","Blackhills FC G00 Black A","WYS Presidents Cup G00"
"Blackhills FC Red G01","Blackhills FC G01 Red","Tyee Cup G00-01 Gold"
"Blues FC NPL G00","BLUES FC 00G (CAN)","Surf Cup White U17"
"Blues FC NPL G00","BLUES FC 00G NPL (CAN)","Surf College Showcase Super Black U17"
"Boise Nationals Timbers Blue G00","BOISE NATIONALS TIMBERS U18 1999/2000 BLUE (ID)","Las Vegas Invit U-17 Girls Elite U17"
"Breakers Black Croft G00","IEYSA Breakers FC Black G00-01 Croft","Win PSPL Girls WSPL 1 (00) U17"
"Breakers Black Croft G00","G01-00 Breakers Black","Sounders FC Cup GU17"
"Breakers Black Croft G00","BREAKERS FC 00-01","AstroTurf Showcase GU17 CD"
"Breakers Black Wilson G00","G00 Wilson FC Breakers","Seattle United Cup GU17 Gold"
"Breakers Black Wilson G00","G00 BREAKERS FC BLACK-WILSON (WA)","Bend Premier Cup Amandine Henry (Silver) Division U17"
"Breakers Black Wilson G00","IEYSA Breakers G00 Black Wilson","Win PSPL Girls WSPL 2 (00) U17"
"Breakers Black Wilson G00","BREAKERS FC G00 WILSON","WA Cup Silver Division"
"Breakers Puzio G00","Breakers FC G00","AstroTurf Showcase GU17 AB"
"Breakers Puzio G00","BREAKERS FC RED-PUZIO (WA)","Les Schwab NW Cup Girls U17 U17"
"Breakers Puzio G00","Breakers U17 Puzio","Seattle United Cup GU17 Gold"
"Broomfield Blast Prestige G00","BROOMFIELD BLAST SC 00 GIRLS PRESTIGE (CO)","Surf College Showcase Black U17"
"BSC Portland Black G00","BSC OREGON (OR)","Timbers Winter Showcase 2000 Showcase U17"
"BSC Portland Gold G00","BSC 00G Gold","Win OYS G00 Division 1"
"CA Odyssey G00","CALIFORNIA ODYSSEY SC COSC 00GR1 (PODEYN)","NorCal NPL 00 NPL 1 East"
"Calgary Blizzard Olympic G00","CALGARY BLIZZARD OLYMPIC (CND)","Nike Crossfire Challenge Super Group U17"
"Calgary Blizzard Porto G00","BLIZZARD PORTO (CANADA)","SX Cup Girls U17 Metro - Tier 2 U17"
"Calgary Blizzard United G00","CALGARY BLIZZARD UNITED (CND)","Surf College Showcase Black U17"
"Calgary Northside Azzurri G00","CALGARY NORTHSIDE AZZURRI (CANADA)","SX Cup Girls U17 Metro - Tier 2 U17"
"Camptoon United 1 G00","Campton United 1 (IL)","USYS National League U17"
