"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"WPFC Black G05",1341,5.51,7.72,45,"WA","Tacoma","RCL G05 Div 1 9Aside","Win RCL G05 Div 1","NWCL 05, WYS Championship G05"
"Crossfire OR Blue I G05",1312,4.92,7.05,35,"OR","Tigard","PTT G05 Premier Red","","NWCL 05, OYS State Cup G05"
"Washington Timbers Red 1 G05",1288,6.52,4.52,42,"WA","Vancouver","PTT G05 Premier Red","Spr OYS G05 Premier Red","NWCL 05, WYS Championship G05"
"Seattle United Copa G05",1277,4.06,6.71,24,"WA","Seattle","RCL G05 Div 1 9Aside","Win RCL G05 Div 1","WYS Championship G05"
"Crossfire Premier A G05",1267,7.27,3.51,37,"WA","Redmond","RCL G05 Div 1 9Aside","Win RCL G05 Div 1","WYS Championship G05"
"ISC Gunners A G05",1215,4.24,4.18,51,"WA","Issaquah","PSPL WSPL 1 U12","Spr PSPL Classic 2 U13","NWCL 05, WA Cup U12 Gold U12"
"FC Portland Navy G05",1210,3.89,4.39,49,"OR","Portland","PTT G05 Premier Red","Spr OYS G05 Premier Red","NWCL 05, OYS State Cup G05"
"Snohomish United Black G05",1182,3.74,3.77,35,"WA","Snohomish","RCL G05 Div 1 9Aside","Win RCL G05 Div 1","WYS Championship G05"
"GS Surf A G05",1163,3.29,3.77,36,"WA","Bothel","RCL G05 Div 1 9Aside","Win RCL G05 Div 1","WYS Championship G05"
"Eastside FC Red G05",1120,3.05,3.02,32,"WA","Preston","RCL G05 Div 1 9Aside","Win RCL G05 Div 1","WYS Championship G05"
"NEU White G05",1114,4.01,2.2,36,"OR","Portland","PTT G05 Premier White","Spr OYS G05 Premier Red","NWCL 05, OYS State Cup G05"
"RV Slammers Orange G05",1075,2.46,2.74,40,"WA","Auburn","RCL G05 Div 2 9Aside","Win RCL G05 Div 1","WYS Championship G05"
"THUSC Neon Black G05",1051,2.58,2.21,42,"OR","Tualatin Hills","PTT G05 Premier Red","Spr OYS G05 Premier Red","NWCL 05, OYS State Cup G05"
"Crossfire Premier C G05",1041,2.2,2.41,48,"WA","Redmond","RCL G05 Div 3 9Aside","Win RCL G05 Div 2","WYS Presidents Cup G05 Div 1"
"Crossfire Premier B G05",1038,2.62,1.99,42,"WA","Redmond","RCL G05 Div 1 9Aside","Win RCL G05 Div 1","NWCL 05, WYS Championship G05"
"Spokane Sounders A Valley G05",1036,2.45,2.09,25,"WA","Spokane","IPL East U12","","WYS Presidents Cup G05 Div 2"
"FC Edmonds Quiet Riot G05",1031,2.24,2.22,50,"WA","Edmonds","PSPL WSPL 1 U12","Spr PSPL Classic 2 U13","NWCL 05, WA Cup U12 Gold U12"
"Harbor Premier Green G05",1029,2.93,1.67,41,"WA","Gig Harbor","RCL G05 Div 2 9Aside","Win RCL G05 Div 2","WYS Presidents Cup G05 Div 1"
"Seattle Celtic Green G05",1023,2.35,2,33,"WA","Seattle","PSPL WSPL 2 West U12","Spr PSPL SuperLeague U12","WA Cup U12 Gold U12"
"Whatcom FC Rangers Gold G05",1011,2.43,1.77,38,"WA","Bellingham","RCL G05 Div 3 9Aside","Win RCL G05 Div 2","WYS Championship G05"
"PacNW Maroon G05",1006,3.21,1.3,37,"WA","Tukwila","RCL G05 Div 1 9Aside","Win RCL G05 Div 2","WYS Championship G05"
"WA Rush G05",1000,2.09,1.91,46,"WA","Everett","RCL G05 Div 2 9Aside","Win RCL G05 Div 2","WYS Presidents Cup G05 Div 1"
"Washington Timbers Red 2 G05",998,1.76,2.23,39,"WA","Vancouver","PTT G05 Div 1 Red","Spr OYS G05 Premier White","OYS Presidents Cup G05"
"TC United Navy G05",979,2.08,1.66,26,"WA","Lacey","PSPL WSPL 2 West U12","Spr PSPL SuperLeague U12","WA Cup U12 Gold U12"
"WAFC Lightning G05",978,1.8,1.91,36,"OR","Woodburn","PTT G05 Premier White","Spr OYS G05 Premier Red","OYS State Cup G05"
"ASE Emerald G05",973,2.25,1.47,32,"WA","Pasco","PSPL WSPL 1 U12","Spr PSPL SuperLeague U12","NWCL 05, WA Cup U12 Gold U12"
"PCU Red 1 G05",967,2.27,1.41,36,"OR","Portland","PTT G05 Premier Red","Spr OYS G05 Premier Red","OYS State Cup G05"
"Seattle United Tango G05",964,2.24,1.39,31,"WA","Seattle","RCL G05 Div 2 9Aside","Win RCL G05 Div 2","WYS Presidents Cup G05 Div 1"
"FC Nova Gold BS G05",960,1.58,1.91,17,"ID","Boise","Idaho D3 U12 North U12","Spr Idaho D3 U12 North","NWCL 05"
"WPFC White G05",936,1.72,1.5,41,"WA","Tacoma","RCL G05 Div 2 9Aside","Win RCL G05 Div 2","WYS Presidents Cup G05 Div 1"
"Pacific FC Fire G05",935,2.47,1.03,34,"WA","Battleground","PTT G05 Premier Red","Spr OYS G05 Premier Red",""
"Bellevue United Blue Angels G05",929,1.57,1.55,27,"WA","Bellevue","NPSL Div 1 (05) U12","","Founders Cup G05 Div A, WYS Presidents Cup G05 Div 2"
"Crossfire OR SSC Blue I G05",912,1.42,1.53,39,"OR","Tigard","PTT G05 Premier White","Spr OYS G05 Premier Red","OYS State Cup G05"
"Eastside FC White G05",905,1.09,1.89,43,"WA","Preston","RCL G05 Div 2 9Aside","Win RCL G05 Div 2","WYS Presidents Cup G05 Div 1"
"Spokane Sounders A North G05",904,1.59,1.3,19,"WA","Spokane","IPL East U12","","WYS Presidents Cup G05 Div 2"
"Dragons FC G05",904,1.99,1.04,33,"WA","Seattle","PSPL WSPL 2 West U12","Spr PSPL SuperLeague U12","WA Cup U12 Gold U12"
"ETFC Chelsea Black G05",899,1.71,1.16,32,"OR","Eugene","PTT G05 Premier Red","Spr OYS G05 Premier White","OYS State Cup G05"
"Wenatchee FC G05",875,1.4,1.2,21,"WA","Wenatchee","PSPL WSPL 2 East U12","Spr PSPL SuperLeague U12","WA Cup U12 Gold U12"
"Three Rivers SC Black G05",874,1.89,0.88,32,"WA","Pasco","RCL G05 Div 2 9Aside","Win RCL G05 Div 2","WYS Presidents Cup G05 Div 1"
"NC Alliance FC G05",867,1.55,1.02,31,"WA","","PSPL WSPL 2 West U12","Spr PSPL Classic 1 U12","WA Cup U12 Gold U12"
"FC Nova Gold MZ G05",865,2.58,0.61,20,"ID","Boise","Idaho D3 U12 North U12","Spr Idaho D3 U12 North","NWCL 05"
"Capital FC Timbers Red G05",865,1.72,0.91,35,"OR","Salem","PTT G05 Div 1 Red","Spr OYS G05 Div 1 Red","OYS Presidents Cup G05"
"CWSA Navy G05",856,1.82,0.81,33,"WA","Yakima","PSPL WSPL 2 East U12","Spr PSPL SuperLeague U12","WA Cup U12 Gold U12"
"FWFC Blue G05",847,1.28,1.08,35,"WA","Federal Way","RCL G05 Div 2 9Aside","Win RCL G05 Div 3","WYS Presidents Cup G05 Div 1"
"Crossfire OR WUSC White G05",845,1.17,1.17,30,"OR","West Linn","PTT G05 Div 1 Red","Spr OYS G05 Div 1 Red","OYS Presidents Cup G05"
"MVP Marauders Navy G05",844,1.22,1.11,25,"WA","Maple Valley","PSPL WSPL 1 U12","Spr PSPL SuperLeague U12",""
"Rogue Valley Timbers Red G05",842,1.37,0.97,33,"OR","Medford","PTT G05 Premier White","Spr OYS G05 Premier White","OYS State Cup G05"
"BSC Portland Black G05",840,1.49,0.88,27,"OR","Portland","PTT G05 Premier White","Spr OYS G05 Premier White","OYS State Cup G05"
"Seattle United Samba G05",837,1.38,0.94,36,"WA","Seattle","RCL G05 Div 3 9Aside","Win RCL G05 Div 3","WYS Presidents Cup G05 Div 2"
"ISC Gunners B G05",837,1.09,1.18,40,"WA","Issaquah","PSPL WSPL 2 West U12","Spr PSPL Classic 2 U13","WA Cup U12 Silver U12"
"Crossfire OR LOSC Blue I G05",836,1.15,1.11,28,"OR","Lake Oswego","PTT G05 Div 1 Red","Spr OYS G05 Div 1 Red",""
"GS Surf B G05",834,1.34,0.94,42,"WA","Bothel","RCL G05 Div 3 9Aside","Win RCL G05 Div 3","WYS Presidents Cup G05 Div 2"
"FPSC Fury Black G05",825,1.9,0.63,36,"WA","Tacoma","PSPL WSPL 1 U12","Spr PSPL SuperLeague U12","WA Cup U12 Gold U12"
"FC Portland White G05",813,1.28,0.86,47,"OR","Portland","PTT G05 Div 1 Red","Spr OYS G05 Div 1 Red","OYS Presidents Cup G05"
"ASE Warriors G05",806,1,1.04,33,"WA","Pasco","PSPL WSPL 2 East U12","Spr PSPL Classic 1 U12","WA Cup U12 Silver U12"
"Idaho Rush White G05",794,1.43,0.67,13,"ID","Boise","Idaho D3 U12 North U12, Idaho D3 U12 East U12, Idaho D3 U12 West U12","Spr Idaho D3 U12 North",""
"PacNW Blue G05",790,1.24,0.75,38,"WA","Tukwila","RCL G05 Div 3 9Aside","Win RCL G05 Div 3","WYS Presidents Cup G05 Div 2"
"Idaho Arsenal United G05",788,1.45,0.64,16,"ID","","Idaho D3 U12 North U12","Spr Idaho D3 U12 North",""
"HSC Real G05",788,1.24,0.74,32,"OR","Hillsboro","PTT G05 Div 1 Red","Spr OYS G05 Div 1 Red","OYS Presidents Cup G05"
"CSC Storm Navy G05",783,0.79,1.13,38,"OR","Corvallis","PTT G05 Premier White","Spr OYS G05 Premier White","OYS State Cup G05"
"Cascade FC Green G05",774,1.04,0.8,32,"WA","Snoqualmie","PSPL WSPL 2 West U12","Spr PSPL Classic 1 U12","WA Cup U12 Gold U12"
"Washington Timbers White 1 G05",769,1.03,0.79,34,"WA","Vancouver","PTT G05 Div 2 Red","Spr OYS G05 Div 1 White","Founders Cup G05 Div A"
"Wenatchee Valley United G05",769,1.16,0.69,30,"WA","Wenatchee","PSPL WSPL 1 U12","Spr PSPL SuperLeague U12","WA Cup U12 Gold U12"
"Kent United Green G05",766,0.85,0.93,37,"WA","Kent","NPSL Div 1 (05) U12","Spr NPSL (05) Div 1 U12","Founders Cup G05 Div A"
"Westside Timbers Copa TS G05",764,0.84,0.93,40,"OR","Beaverton","PTT G05 Div 1 White","Spr OYS G05 Div 1 Red","NWCL 05, OYS Presidents Cup G05"
"Nampa Premier G05",759,1.04,0.73,10,"ID","","Idaho D3 U12 East U12","Spr Idaho D3 U12 East",""
"THUSC Neon Green G05",752,1.06,0.68,36,"OR","Tualatin Hills","PTT G05 Premier White","Spr OYS G05 Premier White","OYS State Cup G05"
"Crossfire Select Gold-Jordan G05",751,0.99,0.72,36,"WA","Redmond","NPSL Div 1 (05) U12","Spr NPSL (05) Div 1 U12","Founders Cup G05 Div A"
"Breakers Black G05",739,1.01,0.65,27,"WA","Spokane","PSPL WSPL 2 East U12","Spr PSPL SuperLeague U12","WA Cup U12 Silver U12"
"FC Nova Red JM G05",737,1.31,0.49,12,"ID","Boise","Idaho D3 U12 East U12, Idaho D3 U12 West U12","Spr Idaho D3 U12 South",""
"Valley Thunder SC Newhouse G05",732,0.85,0.74,16,"ID","Lewiston","PSPL-Inland Copa 2 North U12","Spr PSPL-Inland Copa Classic U12","WA Cup U12 Gold U12"
"Crossfire Select Reimbold G05",728,0.72,0.85,32,"WA","Redmond","NPSL Div 1 (05) U12","Spr NPSL (05) Div 1 U12","Founders Cup G05 Div A"
"NEU Blue G05",726,1.22,0.49,27,"OR","Portland","PTT G05 Div 1 Red","Spr OYS G05 Div 1 White","OYS Presidents Cup G05"
"Indie Chicas Lime G05",725,0.94,0.63,25,"ID","Eagle","Idaho D3 U12 North U12","Spr Idaho D3 U12 North","NWCL 05"
"Highline Select G05",722,0.56,1.04,27,"WA","Burien","NPSL Div 3 (05) U12","","Founders Cup G05 Div A"
"Eastside FC Blue G05",718,0.81,0.7,38,"WA","Preston","RCL G05 Div 3 9Aside","Win RCL G05 Div 3","WYS Presidents Cup G05 Div 2"
"Kitsap Alliance Red G05",705,1.02,0.51,34,"WA","Silverdale","RCL G05 Div 4 9Aside","Win RCL G05 Div 3","WYS Presidents Cup G05 Div 1"
"Canyon Optimist Inferno G05",702,1.42,0.36,12,"ID","","Idaho D3 U12 North U12","Spr Idaho D3 U12 South",""
"Meridian United FC Purple G05",696,1.09,0.45,16,"ID","","Idaho D3 U12 East U12","Spr Idaho D3 U12 South",""
"RV Slammers White G05",695,0.86,0.56,36,"WA","Auburn","RCL G05 Div 3 9Aside","Win RCL G05 Div 3","WA Cup U12 Silver U12"
"Crossfire OR CUSC Red G05",694,0.71,0.68,35,"OR","Clackamas","PTT G05 Div 1 White","Spr OYS G05 Div 1 White","OYS Presidents Cup G05"
"Eastside FC Grey G05",689,0.86,0.54,35,"WA","Preston","RCL G05 Div 4 9Aside","Win RCL G05 Div 4","WYS Presidents Cup G05 Div 2"
"Blackhills FC Black G05",687,0.92,0.5,35,"WA","Olympia","RCL G05 Div 4 9Aside","Win RCL G05 Div 4","WYS Presidents Cup G05 Div 2"
"Idaho Rush Blue G05",683,0.98,0.45,16,"ID","Boise","Idaho D3 U12 East U12","Spr Idaho D3 U12 South",""
"Eastside Timbers Red G05",679,0.84,0.52,32,"OR","Gresham","PTT G05 Div 1 White","Spr OYS G05 Div 1 Red","OYS Presidents Cup G05"
"Pacific FC Panthers G05",675,0.79,0.53,31,"WA","Battleground","PTT G05 Premier White","Spr OYS G05 Div 1 Red",""
"Oregon City Scorpions G05",674,0.74,0.56,27,"OR","","PTT G05 Div 1 White","Spr OYS G05 Div 1 White",""
"Real Middleton G05",673,0.76,0.55,9,"ID","","Idaho D3 U12 East U12, Idaho D3 U12 West U12","Spr Idaho D3 U12 East",""
"Whatcom FC Rangers Blue G05",667,1.03,0.39,34,"WA","Bellingham","RCL G05 Div 4 9Aside","Win RCL G05 Div 3","WYS Presidents Cup G05 Div 2"
"Indie Chicas Cyan G05",666,1.11,0.36,17,"ID","Eagle","Idaho D3 U12 East U12","Spr Idaho D3 U12 South",""
"BIFC Blue G05",663,0.97,0.4,29,"WA","Bainbridge","NPSL Div 2 (05) U12","","Founders Cup G05 Div A"
"Seattle Celtic White G05",661,0.66,0.58,28,"WA","Seattle","PSPL Classic 1 U12","Spr PSPL Classic 1 U12","WA Cup U12 Silver U12"
"Cheney Storm FC G05",660,0.5,0.76,25,"WA","Cheney","PSPL-Inland Copa 1 U12","Spr PSPL-Inland Copa Classic U12",""
"PCU Red 2 G05",655,0.72,0.51,24,"OR","Portland","PTT G05 Div 1 White","Spr OYS G05 Div 2 Red","OYS Presidents Cup G05"
"SSC Shadow United Wanner G05",652,0.85,0.42,22,"WA","Spokane","IPL East U12","Spr IPL East U12",""
"Bend FC Timbers Red G05",649,0.71,0.49,32,"OR","Bend","PTT G05 Premier Red","Spr OYS G05 Premier White","OYS State Cup G05"
"Sting SC Timbers White G05",645,0.84,0.41,18,"ID","","IPL East U12","Spr IPL East U12",""
"NPSA Titans Navy Mercer Island G05",644,0.56,0.6,8,"WA","Mercer Island","","Spr PSPL Copa U12",""
"Sky River SC Fierce G05",640,0.48,0.69,26,"WA","Monroe","NPSL Div 2 (05) U12","",""
"FC Portland Red G05",631,0.52,0.6,24,"OR","Portland","PTT G05 Div 2 Red","Spr OYS G05 Div 2 Red","OYS Founders Cup G05"
"Seattle United Shoreline Blue G05",627,0.8,0.38,33,"WA","Seattle","NPSL Div 1 (05) U12","Spr NPSL (05) Div 1 U12","Founders Cup G05 Div A"
"FCSC Three Rivers United G05",626,0.62,0.48,18,"OR","","PTT G05 Div 1 White","",""
"Snohomish United Red G05",613,0.51,0.54,35,"WA","Snohomish","RCL G05 Div 4 9Aside","Win RCL G05 Div 4","WYS Presidents Cup G05 Div 2"
"NW United Black G05",613,0.62,0.44,36,"WA","Burlington","RCL G05 Div 4 9Aside","Win RCL G05 Div 4","WYS Presidents Cup G05 Div 2"
"FC Nova Red AS G05",610,0.79,0.34,14,"ID","Boise","Idaho D3 U12 East U12","Spr Idaho D3 U12 South",""
"Sting SC Timbers Red G05",607,0.73,0.36,24,"ID","","PSPL-Inland Copa 1 U12","Spr PSPL Classic 1 U12",""
"Highline Premier Blue G05",602,0.72,0.35,29,"WA","Burien","PSPL Classic 1 U12","Spr PSPL Classic 1 U12","WA Cup U12 Silver U12"
"GS Surf C G05",592,0.55,0.43,34,"WA","Bothel","RCL G05 Div 4 9Aside","Win RCL G05 Div 4","WYS Presidents Cup G05 Div 2"
"Spokane Sounders B Valley G05",590,0.64,0.37,9,"WA","Spokane","IPL East U12","Spr IPL East U12",""
"WA Rush Nero G05",590,0.6,0.39,37,"WA","Everett","RCL G05 Div 4 9Aside","Win RCL G05 Div 4","WYS Presidents Cup G05 Div 2"
"ASE Royal G05",587,0.56,0.41,25,"WA","Pasco","PSPL WSPL 2 East U12","Spr PSPL Classic 2 U12",""
"CWSA White G05",583,0.61,0.37,18,"WA","Yakima","PSPL-Inland Copa 2 West U12","Spr PSPL Classic 2 U12",""
"Southlake Select Red G05",577,0.56,0.38,33,"WA","Renton","NPSL Div 3 (05) U12","Spr NPSL (05) Div 2 U12",""
"Crossfire OR SSC White G05",574,0.63,0.33,38,"OR","Tigard","PTT G05 Div 2 West","Spr OYS G05 Div 1 White","OYS Presidents Cup G05"
"Endeavour Soccer Academy Parrish G05",569,0.47,0.43,16,"WA","","PSPL-Inland Copa 2 West U12","Spr PSPL-Inland Copa 1 U12","WA Cup U12 Bronze U12"
"Seattle United W Blue G05",567,0.61,0.33,32,"WA","Seattle","NPSL Div 2 (05) U12","Spr NPSL (05) Div 2 U12","Founders Cup G05 Div A"
"MVP Marauders White G05",566,0.49,0.4,25,"WA","Maple Valley","PSPL Classic 2 U12","Spr PSPL Classic 2 U12","WA Cup U12 Bronze U12"
"NWSC Deception FC G05",562,0.56,0.34,30,"WA","","NPSL Div 2 (05) U12","Spr NPSL (05) Div 2 U12",""
"FC Salmon Creek Nemesis White G05",560,0.4,0.47,27,"WA","Salmon Creek","PTT G05 Div 1 White","Spr OYS G05 Div 1 White",""
"NICH Impact G05",556,0.58,0.32,33,"OR","Portland","PTT G05 Div 2 Red","Spr OYS G05 Div 2 Red","OYS Founders Cup G05"
"FSC Roses White G05",555,0.64,0.29,28,"OR","","PTT G05 Div 2 Red","Spr OYS G05 Div 2 White","OYS Founders Cup G05"
"WPFC Navy G05",555,0.56,0.33,37,"WA","Tacoma","RCL G05 Div 4 9Aside","Win RCL G05 Div 4","WYS Presidents Cup G05 Div 2"
"Seattle Celtic Orange G05",553,0.35,0.52,25,"WA","Seattle","PSPL Classic 2 U12","Spr PSPL Classic 2 U12",""
"Spokane Foxes G05",553,0.56,0.32,23,"WA","Spokane","PSPL WSPL 2 East U12","Spr PSPL-Inland Copa 1 U13",""
"Emerald City FC Green G05",547,0.46,0.37,26,"WA","Seattle","PSPL Classic 1 U12","Spr PSPL Classic 1 U12","WA Cup U12 Silver U12"
"Union County United G05",545,0.66,0.26,8,"OR","La Grande","Idaho D3 U12 East U12","Spr Idaho D3 U12 East",""
"HSC Newberg G05",543,0.62,0.27,19,"OR","Hillsboro","PTT G05 Div 2 West","Spr OYS G05 Div 2 White","OYS State Cup G05"
"Seattle United S Blue G05",536,0.38,0.42,25,"WA","Seattle","NPSL Div 2 (05) U12","","Founders Cup G05 Div A"
"NSC Green Thunder G05",534,0.43,0.37,19,"WA","Woodinvile","NPSL Div 1 (05) U12","","Founders Cup G05 Div A"
"Three Rivers SC Green G05",533,0.52,0.3,17,"WA","Pasco","PSPL-Inland Copa 1 U12","Spr PSPL-Inland Copa Classic U12",""
"FWFC Select G05",530,0.76,0.2,21,"WA","Federal Way","NPSL Div 3 (05) U12","","Founders Cup G05 Div A"
"Rogue Valley Timbers White G05",529,0.44,0.35,14,"OR","Medford","SOCL Pacific Crest U12","",""
"SGESC Fusion G05",521,0.46,0.31,30,"WA","Graham","PSPL Copa U12","Spr PSPL Copa U12","WA Cup U12 Bronze U12"
"ETFC Chelsea Red G05",519,0.48,0.3,32,"OR","Eugene","PTT G05 Div 2 Red","Spr OYS G05 Div 1 Red","OYS Founders Cup G05"
"Sandpoint Strikers G05",512,0.53,0.25,14,"ID","Sandpoint","IPL East U12","Spr IPL East U12",""
"West Narrows FC Blue G05",508,0.52,0.25,25,"WA","Gig Harbor","PSPL Classic 1 U12","Spr PSPL Classic 1 U12",""
"McMinnville MYSA Thorns G05",503,0.74,0.17,21,"OR","McMinnville","PTT G05 Div 2 West","Spr OYS G05 Div 2 Red","OYS Founders Cup G05"
"ISC Gunners Select G05",499,0.43,0.29,24,"WA","Issaquah","PSPL Copa U12","Spr PSPL Copa U12",""
"Nortac Sparta Red G05",494,0.48,0.25,23,"WA","Tacoma","PSPL Copa U12","Spr PSPL Copa U12",""
"Grants Pass YSC Blue G05",492,0.42,0.28,10,"OR","Grants Pass","SOCL Pacific Crest U12","",""
"Newport FC Panthers G05",488,0.45,0.26,28,"WA","Bellevue","NPSL Div 3 (05) U12","Spr NPSL (05) Div 3 U12","Founders Cup G05 Div A"
"LYS Fire Storm G05",488,0.44,0.26,24,"OR","","PTT G05 Div 2 Red","Spr OYS G05 Div 2 Red","OYS Founders Cup G05"
"North Idaho Inferno G05",485,0.44,0.26,21,"ID","","PSPL-Inland Copa 2 North U12","Spr IPL East U12",""
"Breakers Red Antoniuk G05",483,0.42,0.26,16,"WA","Spokane","PSPL-Inland Copa 1 U12","Spr PSPL-Inland Copa 1 U12",""
"MIFC Jedi G05",474,0.3,0.35,21,"WA","Mercer Island","NPSL Div 1 (05) U12","","Founders Cup G05 Div A"
"4H Turbine G05",466,0.32,0.31,27,"OR","","PTT G05 Div 1 White","Spr OYS G05 Div 1 White","OYS Presidents Cup G05"
"NEU Black G05",464,0.45,0.22,29,"OR","Portland","PTT G05 Div 2 Red","Spr OYS G05 Div 2 White","OYS Founders Cup G05"
"Crossfire OR WUSC Navy G05",461,0.27,0.36,40,"OR","West Linn","PTT G05 Div 2 Red","Spr OYS G05 Div 2 Red","OYS Founders Cup G05"
