"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2016-06-09,"PVSC United Lightning G03",4,"Upper Valley Madison United G03",3,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"Dragons FC G05",5,"Southlake Select Red G05",1,"Starfire Spring Classic GU12","neutral","neutral","Grass"
2016-06-10,"MIFC Islanders G05",0,"Seattle Celtic Green G05",10,"Starfire Spring Classic GU12","neutral","neutral","Turf"
2016-06-10,"FC Edmonds Quiet Riot G05",6,"Seattle United S Blue G05",0,"Starfire Spring Classic GU12","neutral","neutral","Grass"
2016-06-10,"Bridger Valley SC G04",2,"Upper Valley Madison United G03",3,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"BYSL Lighting Red G03",3,"Bridger Valley SC G04",1,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-10,"PVSC United Lightning G03",1,"BYSL Lighting Red G03",3,"Yellowstone Cup Gold","neutral","neutral","Grass"
2016-06-11,"Coastal FC White G05",9,"MIFC Islanders G05",0,"Starfire Spring Classic GU12","neutral","neutral","Turf"
2016-06-11,"Seattle Celtic Green G05",1,"Seattle United -Unk G05",1,"Starfire Spring Classic GU12","neutral","neutral","Turf"
2016-06-11,"Seattle United S Blue G05",0,"Coastal FC Royals G05",9,"Starfire Spring Classic GU12","neutral","neutral","Turf"
2016-06-11,"Seattle Celtic Orange G05",0,"Dragons FC G05",1,"Starfire Spring Classic GU12","neutral","neutral","Turf"
2016-06-11,"Southlake Select Red G05",1,"West Vancouver Spuraways G05",11,"Starfire Spring Classic GU12","neutral","neutral","Turf"
2016-06-11,"Chilliwack FC Selects G05",0,"FC Edmonds Quiet Riot G05",2,"Starfire Spring Classic GU12","neutral","neutral","Turf"
2016-06-11,"MIFC Islanders G05",0,"Seattle United -Unk G05",10,"Starfire Spring Classic GU12","neutral","neutral","Turf"
2016-06-11,"Seattle Celtic Green G05",1,"Coastal FC White G05",1,"Starfire Spring Classic GU12","neutral","neutral","Turf"
2016-06-11,"West Vancouver Spuraways G05",1,"Dragons FC G05",0,"Starfire Spring Classic GU12","neutral","neutral","Turf"
2016-06-11,"Southlake Select Red G05",0,"Seattle Celtic Orange G05",3,"Starfire Spring Classic GU12","neutral","neutral","Turf"
